reaction	keff
MDDCP2pp	65
MDDCP3pp	65
MDDCP4pp	65
MDDCP5pp	65
MDDEP1pp	65
MDDEP2pp	65
MDDEP3pp	65
MDDEP4pp	65
MDH2	65
ME1	65
ME2	65
MECDPDH2	65
MECDPS	65
MEPCT	65
METAT	65
METS	65
METSOXR1	65
METSOXR2	65
METTRS	65
METabcpp	65
MG2tpp	65
MGCH	65
MI1PP	65
MICITDr	65
MINCYCtpp	65
MLTGY1pp	65
MLTGY2pp	65
MLTGY3pp	65
MLTGY4pp	65
MMSAD3	65
MMTSAO	65
MOADSUx	65
MOHMT	65
MPTAT	65
MPTS	65
MPTSS	65
MTAP	65
MTHFC	65
MTHFD	65
MTHFR2	65
MTHFR3	65
MTI	65
MTRI	65
MUCCYCI	65
MUCLI	65
NACODA	65
NADDP	65
NADH5	65
NADK	65
NADN	65
NADNAQ_q8	65
NADNAQ_q9	65
NADPHQR2	65
NADS2	65
NADTRHD	65
NAMNPP	65
NAR_syn	65
NAt3pp	65
NDPK1	65
NDPK2	65
NDPK3	65
NDPK4	65
NDPK5	65
NDPK6	65
NDPK7	65
NDPK8	65
NH4t4pp	65
NH4tpp	65
NIR1	65
NMNATr	65
NMNDA	65
NMNHYD	65
NNATr	65
NNDMBRT	65
NNDPR	65
NO2t2rpp	65
NO3R1bpp_q8	65
NO3R1bpp_q9	65
NODOx	65
NODOx2	65
NODOy	65
NODOy2	65
NORRDX1	65
NOVBCNtpp	65
NTD1	65
NTD10	65
NTD11	65
NTD2	65
NTD3	65
NTD4	65
NTD5	65
NTD6	65
NTD7	65
NTD8	65
NTD9	65
NTP1	65
NTPP1	65
NTPP11	65
NTPP2	65
NTPP4	65
NTPP6	65
NTPP8	65
NTPP9	65
NTPTP1	65
NTRIR2x	65
OAADC	65
OCBT	65
OCDCAt2pp	65
OCDCEAt2pp	65
OCOAT1	65
OCTDPS	65
OHPBAT	65
OMBZLM	65
OMMBLHX	65
OMPDC	65
OMPHHX	65
OPHBDC	65
OPHHX	65
ORNDC	65
ORNTAC	65
ORNabcpp	65
ORPT	65
OXOADLR	65
OXOAEL	65
OXPTNDH	65
P5CD	65
P5CR	65
PA120abcpp	65
PA140abcpp	65
PA141abcpp	65
PA160abcpp	65
PA161abcpp	65
PA180abcpp	65
PA181abcpp	65
PACt3	65
PANTS	65
PAPPT3	65
PAPSR	65
PAPSR2	65
PC	65
PDE1	65
PDE4	65
PDHbr	65
PDHcr	65
PDX5POi	65
PDX5PS	65
PE120abcpp	65
PE140abcpp	65
PE141abcpp	65
PE160abcpp	65
PE161abcpp	65
PE180abcpp	65
PE181abcpp	65
PERD	65
PG120abcpp	65
PG140abcpp	65
PG141abcpp	65
PG160abcpp	65
PG161abcpp	65
PG180abcpp	65
PG181abcpp	65
PGAMT	65
PGCD	65
PGI	65
PGK	65
PGL	65
PGLYCP	65
PGM	65
PGMT	65
PGP120abcpp	65
PGP140abcpp	65
PGP141abcpp	65
PGP160abcpp	65
PGP161abcpp	65
PGP180abcpp	65
PGP181abcpp	65
PGPP120	65
PGPP120pp	65
PGPP140pp	65
PGPP141pp	65
PGPP160	65
PGPP160pp	65
PGPP161	65
PGPP161pp	65
PGPP180	65
PGPP180pp	65
PGPP181	65
PGPP181pp	65
PGSA120	65
PGSA140	65
PGSA141	65
PGSA160	65
PGSA161	65
PGSA180	65
PGSA181	65
PHEMEabcpp	65
PHETA1	65
PHETHPTOX3	65
PHEt2rpp	65
PIt2rpp	65
PIt7ipp	65
PIuabcpp	65
PMANM	65
PMPK	65
POAACR	65
PPA	65
PPAKrirr	65
PPBNGS	65
PPC	65
PPCDC	65
PPCK	65
PPGPPDP	65
PPK2r	65
PPKr	65
PPM	65
PPNCL	65
PPND	65
PPNDH	65
PPPNt2rpp	65
PPS	65
PRAGSr	65
PRAIS	65
PRAIi	65
PRAMPC	65
PRATPP	65
PRFGS	65
PRMICI	65
PROD2	65
PROt4pp	65
PRPPSirr	65
PSCVT	65
PSD120	65
PSD140	65
PSD141	65
PSD160	65
PSD161	65
PSD180	65
PSD181	65
PSERTr	65
PSP_L	65
PSSA120	65
PSSA140	65
PSSA141	65
PSSA160	65
PSSA161	65
PSSA180	65
PSSA181	65
PTA2	65
PTAr	65
PTPATi	65
PTRCTA	65
PTRCabcpp	65
PUNP1	65
PYAM5PO	65
PYDXNO	65
PYDXO	65
PYK	65
PYNP2r	65
QOR1	65
QOR2	65
QOR3	65
QUEA1	65
QUEA2	65
QUEA3	65
QULNS	65
R15BPK	65
RBFK	65
RBFSa	65
RBFSb	65
RDXRx	65
RDXRy	65
RFAMPtpp	65
RHACOAR100	65
RHACOAR101	65
RHACOAR120	65
RHACOAR121d5	65
RHACOAR121d6	65
RHACOAR140	65
RHACOAR141d5	65
RHACOAR141d7	65
RHACOAR142	65
RHACOAR60	65
RHACOAR70	65
RHACOAR80	65
RHACOAR90	65
RHACOARP100	65
RHACOARP40	65
RHACOARP50	65
RHACOARP60	65
RHACOARP70	65
RHACOARP80	65
RHACOARP90	65
RHACOART60	65
RNDR1	65
RNDR2	65
RNDR3	65
RNDR4	65
RNTR1_for	65
RNTR2_for	65
RNTR3_for	65
RNTR4_for	65
RPE	65
RPI	65
RZ5PP	65
S7PI	65
SADT	65
SCYSDS	65
SDPDS	65
SDPTA	65
SERAT	65
SERD_L	65
SERt4pp	65
SFGTHi	65
SHCHD2	65
SHCHF	65
SHK3Dr	65
SHKK	65
SHSL1	65
SHSL4r	65
SLCYSS	65
SO3abcpp	65
SO4t4pp_1	65
SOTA	65
SPMDabcpp	65
SPMS	65
SPODMpp	65
SSALy	65
SUCD4i	65
SUCD4i_q9	65
SUCDi	65
SUCDi_q9	65
SUCOASr	65
SULR	65
SULabcpp	65
T2DECAI	65
TALA	65
TDP	65
TDPDRE	65
TDPDRR	65
TDPGDH	65
TDSK_PA	65
TGTASE1	65
TGTASE2	65
TGTASE3	65
THD2pp	65
THDPS	65
THIORDXi	65
THMPPi	65
THRAi	65
THRD_L	65
THRS	65
THRTRS	65
THRabcpp	65
THRt4pp	65
THZPSN3_PA	65
TKT1	65
TKT2	65
TMDS	65
TMPK	65
TMPPP_PA	65
TPI	65
TRDR	65
TRPS1	65
TRPS2	65
TRPS3	65
TRPTRS	65
TRSARrirr	65
TSULabcpp	65
TTRCYCtpp	65
TYRTA	65
TYRTRS	65
TYRt2rpp	65
TYRtex	65
U23GAAT	65
UAAGDS	65
UACGAMDH2	65
UAGAAT2_1	65
UAGCVT	65
UAGDP	65
UAGPT3	65
UAMAGS	65
UAMAS	65
UAPGR	65
UDCPDP	65
UDCPDPS	65
UDPG4E	65
UGLYCH	65
UGMDDS	65
UHGADA	65
UM3PL	65
UM4PL	65
UMPK	65
UNK3	65
UPP3MT	65
UPP3S	65
UPPDC1	65
UPPRT	65
URAt2pp	65
UREA	65
UREAabcpp	65
USHD	65
VALTA	65
VALabcpp	65
VALt2rpp	65
XAND	65
XANt2pp	65
XPPT	65
XYLK	65
ZN2t3pp	65
ZNabcpp	65
rJB00237	65
rJB00258	65
rJB00259i	65
rJB00260	65
rJB00262	65
rJB00263	65
rJB00265	65
rJB00271	65
rPY00162	65
rPY00163	65
rPY00164	65
rPY00165	65
rPY00167	65
rPY00168	65
rPY00169	65
rPY00170	65
rPY00172	65
rPY00173	65
rPY00175	65
rPY00176	65
rPY00221	65
rPY00222	65
rxn00177	65
rxn00222	65
rxn00295	65
rxn00559	65
rxn00611	65
rxn00629	65
rxn00671	65
rxn00689	65
rxn00738	65
rxn00779	65
rxn00992	65
rxn01734	65
rxn02569	65
rxn03395	65
rxn04093	65
rxn05003	65
rxn05028	65
rxn05034	65
rxn05091	65
rxn05092	65
rxn10062	65
rxn10199	65
rxn12206	65
rxn12432	65
rxn12562	65
rxn12879	65
rxn12880	65
rxn12880_pphn	65
rxn12892	65
rxn13044	65
rxn13107	65
rxn13107_pphn	65
rxn13108	65
rxn13108_pphn	65
rxn13804cyt	65
rxn13866	65
rxn13867	65
rxn13869	65
rxn13870	65
rxn13873	65
rxn13878	65
rxn13879	65
rxn13892	65
rxn13909	65
