reaction	keff
NTD3pp	65
NTD4	65
NTD4pp	65
NTD5	65
NTD5pp	65
NTD6	65
NTD6pp	65
NTD7	65
NTD7pp	65
NTD8	65
NTD8pp	65
NTD9	65
NTD9pp	65
NTP1	65
NTP10	65
NTP3	65
NTP5	65
NTPP1	65
NTPP10	65
NTPP11	65
NTPP2	65
NTPP3	65
NTPP4	65
NTPP5	65
NTPP6	65
NTPP7	65
NTPP8	65
NTPP9	65
NTPTP1	65
NTPTP2	65
NTRIR2x	65
O16A4COLIPAabctex	65
O2Stex	65
OAADC	65
OCBT	65
OCDCAtexi	65
OCDCEAtexi	65
OCTDPS	65
OGMEACPD	65
OGMEACPR	65
OGMEACPS	65
OHPBAT	65
OHPHM	65
OIVD1r	65
OMBZLM	65
OMCDC	65
OMMBLHXy	65
OMPDC	65
OMPHHXy	65
OP4ENH	65
OPHBDC	65
OPHHXy	65
OPMEACPD	65
OPMEACPR	65
OPMEACPS	65
ORNDC	65
ORNabcpp	65
OROTt2_2pp	65
ORPT	65
OXAMTC	65
OXCDC	65
OXCOAHDH	65
OXDHCOAT	65
P5CD	65
P5CR	65
PA120abcpp	65
PA140abcpp	65
PA141abcpp	65
PA160abcpp	65
PA161abcpp	65
PA180abcpp	65
PA181abcpp	65
PACCOAE	65
PACCOAL	65
PACOAT	65
PANTS	65
PAPPT3	65
PAPSR	65
PAPSR2	65
PCNO	65
PDE1	65
PDE4	65
PDH	65
PDX5POi	65
PDX5PS	65
PDXPP	65
PE120abcpp	65
PE140abcpp	65
PE141abcpp	65
PE160abcpp	65
PE161abcpp	65
PE180abcpp	65
PE181abcpp	65
PERD	65
PG120abcpp	65
PG140abcpp	65
PG141abcpp	65
PG160abcpp	65
PG161abcpp	65
PG180abcpp	65
PG181abcpp	65
PGAMT	65
PGCD	65
PGI	65
PGK	65
PGL	65
PGLYCP	65
PGM	65
PGMT	65
PGP120abcpp	65
PGP140abcpp	65
PGP141abcpp	65
PGP160abcpp	65
PGP161abcpp	65
PGP180abcpp	65
PGP181abcpp	65
PGPP120	65
PGPP120pp	65
PGPP140	65
PGPP140pp	65
PGPP141	65
PGPP141pp	65
PGPP160	65
PGPP160pp	65
PGPP161	65
PGPP161pp	65
PGPP180	65
PGPP180pp	65
PGPP181	65
PGPP181pp	65
PGSA120	65
PGSA140	65
PGSA141	65
PGSA160	65
PGSA161	65
PGSA180	65
PGSA181	65
PHDA	65
PHEMEabcpp	65
PHETA1	65
PHEt2rpp	65
PHEtipp	65
PIt2rpp	65
PItpp	65
PIuabcpp	65
PLIPA1A120pp	65
PLIPA1A140pp	65
PLIPA1A141pp	65
PLIPA1A160pp	65
PLIPA1A180pp	65
PLIPA1E140pp	65
PLIPA1E160pp	65
PLIPA1E180pp	65
PLIPA2E120pp	65
PLIPA2G141pp	65
PMANM	65
PMEACPE	65
PMPK	65
PNSPA	65
PNTK	65
POAACR	65
POX	65
PPA	65
PPA2	65
PPAKr	65
PPAt4pp	65
PPBNGS	65
PPC	65
PPCDC	65
PPCK	65
PPCSCT	65
PPDOy	65
PPGPPDP	65
PPK	65
PPK2	65
PPM	65
PPNCL2	65
PPND	65
PPNDH	65
PPPGO	65
PPPNDO	65
PPPNt2rpp	65
PPS	65
PPTtex	65
PRAGSr	65
PRAIS	65
PRAIi	65
PRAMPC	65
PRASCSi	65
PRATPP	65
PRFGS	65
PRMICI	65
PROD3	65
PROGLYabcpp	65
PROabcpp	65
PROt2rpp	65
PROt4pp	65
PRPPS	65
PSCLYSt2pp	65
PSCVT	65
PSD120	65
PSD140	65
PSD141	65
PSD160	65
PSD161	65
PSD180	65
PSD181	65
PSERT	65
PSP_L	65
PSP_Lpp	65
PSSA120	65
PSSA141	65
PSSA160	65
PSSA161	65
PSSA180	65
PSSA181	65
PTA2	65
PTAr	65
PTPATi	65
PTRCORNt7pp	65
PTRCTA	65
PTRCabcpp	65
PUACGAMtr	65
PYAM5PO	65
PYDAMK	65
PYDXK	65
PYDXNK	65
PYDXPP	65
PYK	65
PYK2	65
PYK3	65
PYK4	65
PYK6	65
PYROX	65
QUIN2tex	65
QUINDH	65
QUINDHyi	65
QULNS	65
R15BPK	65
R5PP	65
RBFK	65
RBFSa	65
RBFSb	65
RBK	65
RBP4E	65
REPHACCOAI	65
RFAMPtpp	65
RHMND	65
RIBabcpp	65
RMPA	65
RNDR1	65
RNDR1b	65
RNDR2	65
RNDR2b	65
RNDR3	65
RNDR3b	65
RNDR4	65
RNDR4b	65
RNTR1c2	65
RNTR2c2	65
RNTR3c2	65
RNTR4c2	65
RPE	65
RPI	65
RPNTPH	65
RU5PP	65
S2FE2SR	65
S2FE2ST	65
S4FE4ST	65
S7PI	65
SADT2	65
SARCOX	65
SBTPD	65
SCYSDS	65
SDPDS	65
SDPTA	65
SELNPS	65
SELabcpp	65
SERASr	65
SERAT	65
SERD_D	65
SERD_L	65
SERtpp	65
SFGTHi	65
SGSAD	65
SHCHCS3	65
SHCHD2	65
SHCHF	65
SHGO	65
SHK3Dr	65
SHKK	65
SHSL1	65
SKMt2pp	65
SLNTabcpp	65
SO3tex	65
SOTA	65
SPMDAT1	65
SPMDAT2	65
SPMDabcpp	65
SPMDt3pp	65
SPMS	65
SPODM	65
SPODMpp	65
SSALx	65
SSALy	65
SUCBZS	65
SUCCt1pp	65
