Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS06265-MONOMER	EWS79_RS06265	(2Fe-2S)-binding protein	
EWS79_RS08050-MONOMER	EWS79_RS08050	(d)CMP kinase	
EWS79_RS00110-MONOMER	EWS79_RS00110	(Fe-S)-binding protein	
EWS79_RS06695-MONOMER	EWS79_RS06695	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	
EWS79_RS01785-MONOMER	EWS79_RS01785	1-acyl-sn-glycerol-3-phosphate acyltransferase	
EWS79_RS05135-MONOMER	EWS79_RS05135	1-deoxy-D-xylulose-5-phosphate reductoisomerase	
EWS79_RS07125-MONOMER	EWS79_RS07125	1-deoxy-D-xylulose-5-phosphate synthase	CCI-CYTOSOL-GN
EWS79_RS05530-MONOMER	EWS79_RS05530	1-deoxy-D-xylulose-5-phosphate synthase	CCI-CYTOSOL-GN
EWS79_RS05855-MONOMER	EWS79_RS05855	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	CCI-CYTOSOL-GN
EWS79_RS07890-MONOMER	EWS79_RS07890	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	
EWS79_RS03640-MONOMER	EWS79_RS03640	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	
EWS79_RS09000-MONOMER	EWS79_RS09000	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	
EWS79_RS02545-MONOMER	EWS79_RS02545	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	
EWS79_RS06920-MONOMER	EWS79_RS06920	16S rRNA (uracil(1498)-N(3))-methyltransferase	
EWS79_RS01840-MONOMER	EWS79_RS01840	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	
EWS79_RS05550-MONOMER	EWS79_RS05550	2,3-diphosphoglycerate-dependent phosphoglycerate mutase	CCI-CYTOSOL-GN
EWS79_RS07360-MONOMER	EWS79_RS07360	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	CCI-CYTOSOL-GN
EWS79_RS01330-MONOMER	EWS79_RS01330	2-amino-thiazoline-4-carboxylic acid hydrolase	
EWS79_RS05545-MONOMER	EWS79_RS05545	2-hydroxyacid dehydrogenase	
EWS79_RS00650-MONOMER	EWS79_RS00650	2-hydroxyacid dehydrogenase	
EWS79_RS04000-MONOMER	EWS79_RS04000	2-isopropylmalate synthase	
EWS79_RS07865-MONOMER	EWS79_RS07865	2-keto-3-deoxygluconate permease	
EWS79_RS07385-MONOMER	EWS79_RS07385	2-nitropropane dioxygenase	
EWS79_RS05320-MONOMER	EWS79_RS05320	2-polyprenylphenol 6-hydroxylase	
EWS79_RS04605-MONOMER	EWS79_RS04605	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	
EWS79_RS00995-MONOMER	EWS79_RS00995	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	CCI-CYTOSOL-GN
EWS79_RS07445-MONOMER	EWS79_RS07445	23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH	
EWS79_RS01945-MONOMER	EWS79_RS01945	2Fe-2S iron-sulfur cluster binding domain-containing protein	
EWS79_RS03805-MONOMER	EWS79_RS03805	2Fe-2S iron-sulfur cluster binding domain-containing protein	
EWS79_RS03250-MONOMER	EWS79_RS03250	3'(2'),5'-bisphosphate nucleotidase	CCI-CYTOSOL-GN
EWS79_RS02015-MONOMER	EWS79_RS02015	3,4-dihydroxy-2-butanone-4-phosphate synthase	
EWS79_RS02620-MONOMER	EWS79_RS02620	3-dehydroquinate synthase	
EWS79_RS00790-MONOMER	EWS79_RS00790	3-deoxy-7-phosphoheptulonate synthase	CCI-CYTOSOL-GN
EWS79_RS06630-MONOMER	EWS79_RS06630	3-deoxy-8-phosphooctulonate synthase	CCI-CYTOSOL-GN
EWS79_RS06635-MONOMER	EWS79_RS06635	3-deoxy-manno-octulosonate cytidylyltransferase	
EWS79_RS05115-MONOMER	EWS79_RS05115	3-hydroxyacyl-ACP dehydratase FabZ	CCI-CYTOSOL-GN
CPLX1W2W-15	EWS79_RS00430 // EWS79_RS00425	3-isopropylmalate dehydratase	
EWS79_RS00425-MONOMER	EWS79_RS00425	3-isopropylmalate dehydratase large subunit	CCI-CYTOSOL-GN
EWS79_RS00430-MONOMER	EWS79_RS00430	3-isopropylmalate dehydratase small subunit	
EWS79_RS02990-MONOMER	EWS79_RS02990	3-isopropylmalate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS08875-MONOMER	EWS79_RS08875	3-methyl-2-oxobutanoate hydroxymethyltransferase	
EWS79_RS08955-MONOMER	EWS79_RS08955	3-methyl-2-oxobutanoate hydroxymethyltransferase	
EWS79_RS05475-MONOMER	EWS79_RS05475	3-oxoacyl-ACP reductase FabG	
EWS79_RS08045-MONOMER	EWS79_RS08045	3-phosphoshikimate 1-carboxyvinyltransferase	
EWS79_RS08055-MONOMER	EWS79_RS08055	30S ribosomal protein S1	CCI-CYTOSOL-GN
EWS79_RS02235-MONOMER	EWS79_RS02235	30S ribosomal protein S10	CCI-CYTOSOL-GN
EWS79_RS02355-MONOMER	EWS79_RS02355	30S ribosomal protein S11	CCI-CYTOSOL-GN
EWS79_RS02215-MONOMER	EWS79_RS02215	30S ribosomal protein S12	CCI-CYTOSOL-GN
EWS79_RS03570-MONOMER	EWS79_RS03570	30S ribosomal protein S12 methylthiotransferase RimO	
EWS79_RS02350-MONOMER	EWS79_RS02350	30S ribosomal protein S13	CCI-CYTOSOL-GN
EWS79_RS02305-MONOMER	EWS79_RS02305	30S ribosomal protein S14	CCI-CYTOSOL-GN
EWS79_RS02415-MONOMER	EWS79_RS02415	30S ribosomal protein S15	CCI-CYTOSOL-GN
EWS79_RS04795-MONOMER	EWS79_RS04795	30S ribosomal protein S16	CCI-CYTOSOL-GN
EWS79_RS02285-MONOMER	EWS79_RS02285	30S ribosomal protein S17	CCI-CYTOSOL-GN
EWS79_RS05490-MONOMER	EWS79_RS05490	30S ribosomal protein S18	CCI-CYTOSOL-GN
EWS79_RS02260-MONOMER	EWS79_RS02260	30S ribosomal protein S19	CCI-CYTOSOL-GN
EWS79_RS05165-MONOMER	EWS79_RS05165	30S ribosomal protein S2	CCI-CYTOSOL-GN
EWS79_RS06040-MONOMER	EWS79_RS06040	30S ribosomal protein S20	CCI-CYTOSOL-GN
EWS79_RS07675-MONOMER	EWS79_RS07675	30S ribosomal protein S21	
EWS79_RS02270-MONOMER	EWS79_RS02270	30S ribosomal protein S3	CCI-CYTOSOL-GN
EWS79_RS06070-MONOMER	EWS79_RS06070	30S ribosomal protein S4	CCI-CYTOSOL-GN
EWS79_RS02325-MONOMER	EWS79_RS02325	30S ribosomal protein S5	CCI-CYTOSOL-GN
EWS79_RS05485-MONOMER	EWS79_RS05485	30S ribosomal protein S6	CCI-CYTOSOL-GN
EWS79_RS02220-MONOMER	EWS79_RS02220	30S ribosomal protein S7	CCI-CYTOSOL-GN
EWS79_RS02310-MONOMER	EWS79_RS02310	30S ribosomal protein S8	CCI-CYTOSOL-GN
EWS79_RS03915-MONOMER	EWS79_RS03915	30S ribosomal protein S9	CCI-CYTOSOL-GN
EWS79_RS02430-MONOMER	EWS79_RS02430	30S ribosome-binding factor RbfA	
EWS79_RS05280-MONOMER	EWS79_RS05280	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	
EWS79_RS03885-MONOMER	EWS79_RS03885	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	CCI-CYTOSOL-GN
EWS79_RS03120-MONOMER	EWS79_RS03120	4-hydroxy-tetrahydrodipicolinate reductase	CCI-CYTOSOL-GN
EWS79_RS03180-MONOMER	EWS79_RS03180	4-hydroxy-tetrahydrodipicolinate synthase	
EWS79_RS06310-MONOMER	EWS79_RS06310	4-hydroxybenzoate octaprenyltransferase	
EWS79_RS05850-MONOMER	EWS79_RS05850	4-hydroxythreonine-4-phosphate dehydrogenase	
EWS79_RS04395-MONOMER	EWS79_RS04395	5'-nucleotidase SurE	
EWS79_RS06315-MONOMER	EWS79_RS06315	5-(carboxyamino)imidazole ribonucleotide mutase	
EWS79_RS06320-MONOMER	EWS79_RS06320	5-(carboxyamino)imidazole ribonucleotide synthase	CCI-PM-BAC-NEG-GN
EWS79_RS05365-MONOMER	EWS79_RS05365	5-aminolevulinate synthase	
EWS79_RS00920-MONOMER	EWS79_RS00920	5-formyltetrahydrofolate cyclo-ligase	
EWS79_RS07815-MONOMER	EWS79_RS07815	5-methyltetrahydrofolate--homocysteine methyltransferase	CCI-CYTOSOL-GN
EWS79_RS04455-MONOMER	EWS79_RS04455	5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase	
EWS79_RS03215-MONOMER	EWS79_RS03215	50S ribosomal protein L1	CCI-CYTOSOL-GN
EWS79_RS03220-MONOMER	EWS79_RS03220	50S ribosomal protein L10	CCI-CYTOSOL-GN
EWS79_RS03210-MONOMER	EWS79_RS03210	50S ribosomal protein L11	CCI-CYTOSOL-GN
EWS79_RS02515-MONOMER	EWS79_RS02515	50S ribosomal protein L11 methyltransferase	
EWS79_RS03920-MONOMER	EWS79_RS03920	50S ribosomal protein L13	CCI-CYTOSOL-GN
EWS79_RS02290-MONOMER	EWS79_RS02290	50S ribosomal protein L14	CCI-CYTOSOL-GN
EWS79_RS02335-MONOMER	EWS79_RS02335	50S ribosomal protein L15	CCI-CYTOSOL-GN
EWS79_RS02275-MONOMER	EWS79_RS02275	50S ribosomal protein L16	CCI-CYTOSOL-GN
EWS79_RS02365-MONOMER	EWS79_RS02365	50S ribosomal protein L17	CCI-CYTOSOL-GN
EWS79_RS02320-MONOMER	EWS79_RS02320	50S ribosomal protein L18	CCI-CYTOSOL-GN
EWS79_RS04810-MONOMER	EWS79_RS04810	50S ribosomal protein L19	CCI-CYTOSOL-GN
EWS79_RS02255-MONOMER	EWS79_RS02255	50S ribosomal protein L2	CCI-CYTOSOL-GN
EWS79_RS06760-MONOMER	EWS79_RS06760	50S ribosomal protein L20	CCI-CYTOSOL-GN
EWS79_RS00905-MONOMER	EWS79_RS00905	50S ribosomal protein L21	CCI-CYTOSOL-GN
EWS79_RS02265-MONOMER	EWS79_RS02265	50S ribosomal protein L22	CCI-CYTOSOL-GN
EWS79_RS02250-MONOMER	EWS79_RS02250	50S ribosomal protein L23	CCI-CYTOSOL-GN
EWS79_RS02295-MONOMER	EWS79_RS02295	50S ribosomal protein L24	
EWS79_RS08635-MONOMER	EWS79_RS08635	50S ribosomal protein L25	CCI-CYTOSOL-GN
EWS79_RS00900-MONOMER	EWS79_RS00900	50S ribosomal protein L27	CCI-CYTOSOL-GN
EWS79_RS01255-MONOMER	EWS79_RS01255	50S ribosomal protein L28	CCI-CYTOSOL-GN
EWS79_RS02280-MONOMER	EWS79_RS02280	50S ribosomal protein L29	CCI-CYTOSOL-GN
EWS79_RS02240-MONOMER	EWS79_RS02240	50S ribosomal protein L3	CCI-CYTOSOL-GN
EWS79_RS02330-MONOMER	EWS79_RS02330	50S ribosomal protein L30	CCI-CYTOSOL-GN
EWS79_RS05110-MONOMER	EWS79_RS05110	50S ribosomal protein L31	CCI-CYTOSOL-GN
EWS79_RS08585-MONOMER	EWS79_RS08585	50S ribosomal protein L32	
EWS79_RS01065-MONOMER	EWS79_RS01065	50S ribosomal protein L33	CCI-CYTOSOL-GN
EWS79_RS07240-MONOMER	EWS79_RS07240	50S ribosomal protein L34	
EWS79_RS06765-MONOMER	EWS79_RS06765	50S ribosomal protein L35	
EWS79_RS05565-MONOMER	EWS79_RS05565	50S ribosomal protein L36	
EWS79_RS02245-MONOMER	EWS79_RS02245	50S ribosomal protein L4	CCI-CYTOSOL-GN
EWS79_RS02300-MONOMER	EWS79_RS02300	50S ribosomal protein L5	CCI-CYTOSOL-GN
EWS79_RS02315-MONOMER	EWS79_RS02315	50S ribosomal protein L6	CCI-CYTOSOL-GN
EWS79_RS03225-MONOMER	EWS79_RS03225	50S ribosomal protein L7/L12	
EWS79_RS05495-MONOMER	EWS79_RS05495	50S ribosomal protein L9	CCI-CYTOSOL-GN
EWS79_RS02010-MONOMER	EWS79_RS02010	6,7-dimethyl-8-ribityllumazine synthase	CCI-CYTOSOL-GN
EWS79_RS03615-MONOMER	EWS79_RS03615	6-carboxytetrahydropterin synthase QueD	CCI-CYTOSOL-GN
EWS79_RS06580-MONOMER	EWS79_RS06580	6-phosphogluconolactonase	
EWS79_RS05755-MONOMER	EWS79_RS05755	7-carboxy-7-deazaguanine synthase	
EWS79_RS04575-MONOMER	EWS79_RS04575	7-cyano-7-deazaguanine synthase QueC	
EWS79_RS08670-MONOMER	EWS79_RS08670	8-amino-7-oxononanoate synthase	
EWS79_RS07500-MONOMER	EWS79_RS07500	A/G-specific adenine glycosylase	
EWS79_RS06540-MONOMER	EWS79_RS06540	ABC transporter	
EWS79_RS08270-MONOMER	EWS79_RS08270	ABC transporter ATP-binding protein	
EWS79_RS06030-MONOMER	EWS79_RS06030	ABC transporter ATP-binding protein	
EWS79_RS01955-MONOMER	EWS79_RS01955	ABC transporter ATP-binding protein	
EWS79_RS00985-MONOMER	EWS79_RS00985	ABC transporter ATP-binding protein	
EWS79_RS04035-MONOMER	EWS79_RS04035	ABC transporter ATP-binding protein	
EWS79_RS00590-MONOMER	EWS79_RS00590	ABC transporter ATP-binding protein	CCI-CYTOSOL-GN
EWS79_RS04375-MONOMER	EWS79_RS04375	ABC transporter ATP-binding protein	
EWS79_RS04595-MONOMER	EWS79_RS04595	ABC transporter ATP-binding protein	
EWS79_RS03540-MONOMER	EWS79_RS03540	ABC transporter ATP-binding protein/permease	
EWS79_RS06745-MONOMER	EWS79_RS06745	ABC transporter ATP-binding protein/permease	
EWS79_RS04600-MONOMER	EWS79_RS04600	ABC transporter permease	
EWS79_RS04380-MONOMER	EWS79_RS04380	ABC transporter permease	
EWS79_RS07105-MONOMER	EWS79_RS07105	ABC transporter permease	CCI-PM-BAC-NEG-GN
EWS79_RS03535-MONOMER	EWS79_RS03535	ABC transporter permease	CCI-PM-BAC-NEG-GN
EWS79_RS04385-MONOMER	EWS79_RS04385	ABC transporter permease subunit	
EWS79_RS05630-MONOMER	EWS79_RS05630	ABC transporter permease subunit	
EWS79_RS02525-MONOMER	EWS79_RS02525	ABC transporter permease subunit	
EWS79_RS04360-MONOMER	EWS79_RS04360	ABC transporter substrate-binding protein	
EWS79_RS08280-MONOMER	EWS79_RS08280	ABC transporter substrate-binding protein	
EWS79_RS07195-MONOMER	EWS79_RS07195	ABC transporter substrate-binding protein	
EWS79_RS06515-MONOMER	EWS79_RS06515	ABC transporter substrate-binding protein	
EWS79_RS05625-MONOMER	EWS79_RS05625	ABC transporter substrate-binding protein	
EWS79_RS08495-MONOMER	EWS79_RS08495	AbrB family transcriptional regulator	CCI-PM-BAC-NEG-GN
EWS79_RS08515-MONOMER	EWS79_RS08515	AbrB family transcriptional regulator	
EWS79_RS05815-MONOMER	EWS79_RS05815	accessory factor UbiK family protein	
EWS79_RS03035-MONOMER	EWS79_RS03035	acetolactate synthase large subunit	CCI-CYTOSOL-GN
EWS79_RS05085-MONOMER	EWS79_RS05085	acetolactate synthase small subunit	CCI-CYTOSOL-GN
EWS79_RS03260-MONOMER	EWS79_RS03260	acetyl-CoA carboxylase biotin carboxyl carrier protein	
EWS79_RS03255-MONOMER	EWS79_RS03255	acetyl-CoA carboxylase biotin carboxylase subunit	CCI-CYTOSOL-GN
EWS79_RS02640-MONOMER	EWS79_RS02640	acetyl-CoA carboxylase carboxyltransferase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS02570-MONOMER	EWS79_RS02570	acetyl-CoA carboxylase carboxyltransferase subunit beta	CCI-CYTOSOL-GN
EWS79_RS06660-MONOMER	EWS79_RS06660	acetylglutamate kinase	
EWS79_RS03245-MONOMER	EWS79_RS03245	acetyltransferase	
EWS79_RS00535-MONOMER	EWS79_RS00535	acid phosphatase	
EWS79_RS02375-MONOMER	EWS79_RS02375	aconitate hydratase	
EWS79_RS05480-MONOMER	EWS79_RS05480	ACP S-malonyltransferase	
EWS79_RS06810-MONOMER	EWS79_RS06810	acriflavin resistance protein	CCI-PM-BAC-NEG-GN
EWS79_RS05705-MONOMER	EWS79_RS05705	acyl carrier protein	CCI-CYTOSOL-GN
EWS79_RS05660-MONOMER	EWS79_RS05660	acyl carrier protein	
EG50003-MONOMER		acyl carrier protein	
EWS79_RS02070-MONOMER	EWS79_RS02070	acyl-CoA dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS02200-MONOMER	EWS79_RS02200	acyl-CoA thioesterase	
EWS79_RS02880-MONOMER	EWS79_RS02880	adenosine deaminase	
EWS79_RS04325-MONOMER	EWS79_RS04325	adenosine deaminase	
EWS79_RS08550-MONOMER	EWS79_RS08550	adenosine kinase	
EWS79_RS03880-MONOMER	EWS79_RS03880	adenosyl-hopene transferase HpnH	CCI-CYTOSOL-GN
EWS79_RS00770-MONOMER	EWS79_RS00770	adenosylhomocysteinase	
EWS79_RS08675-MONOMER	EWS79_RS08675	adenosylmethionine--8-amino-7-oxononanoate transaminase	
EWS79_RS02345-MONOMER	EWS79_RS02345	adenylate kinase	CCI-CYTOSOL-GN
EWS79_RS02915-MONOMER	EWS79_RS02915	adenylosuccinate lyase	
EWS79_RS07550-MONOMER	EWS79_RS07550	adenylosuccinate synthase	
EWS79_RS00015-MONOMER	EWS79_RS00015	adenylyl-sulfate kinase	
EWS79_RS06595-MONOMER	EWS79_RS06595	ADP-forming succinate--CoA ligase subunit beta	
EWS79_RS06075-MONOMER	EWS79_RS06075	agmatine deiminase family protein	
EWS79_RS07665-MONOMER	EWS79_RS07665	AI-2E family transporter	CCI-PM-BAC-NEG-GN
EWS79_RS02870-MONOMER	EWS79_RS02870	AI-2E family transporter	CCI-PM-BAC-NEG-GN
EWS79_RS07110-MONOMER	EWS79_RS07110	alanine racemase	
EWS79_RS03740-MONOMER	EWS79_RS03740	alanine--tRNA ligase	
EWS79_RS05540-MONOMER	EWS79_RS05540	alcohol dehydrogenase AdhP	CCI-CYTOSOL-GN
EWS79_RS05980-MONOMER	EWS79_RS05980	aldo/keto reductase	
EWS79_RS07485-MONOMER	EWS79_RS07485	aldo/keto reductase	
EWS79_RS09015-MONOMER	EWS79_RS09015	aldo/keto reductase	
EWS79_RS07945-MONOMER	EWS79_RS07945	aldo/keto reductase	
EWS79_RS04355-MONOMER	EWS79_RS04355	aldo/keto reductase	
EWS79_RS00260-MONOMER	EWS79_RS00260	aldo/keto reductase	
EWS79_RS04205-MONOMER	EWS79_RS04205	aldose 1-epimerase family protein	
EWS79_RS07155-MONOMER	EWS79_RS07155	alkaline phosphatase family protein	
EWS79_RS04170-MONOMER	EWS79_RS04170	alkaline phosphatase family protein	
EWS79_RS08510-MONOMER	EWS79_RS08510	alkene reductase	
EWS79_RS08265-MONOMER	EWS79_RS08265	alkylphosphonate utilization protein	
EWS79_RS06245-MONOMER	EWS79_RS06245	alpha/beta fold hydrolase	
EWS79_RS07025-MONOMER	EWS79_RS07025	alpha/beta hydrolase	
EWS79_RS00220-MONOMER	EWS79_RS00220	alpha/beta hydrolase	
EWS79_RS03380-MONOMER	EWS79_RS03380	alpha/beta hydrolase	
EWS79_RS06535-MONOMER	EWS79_RS06535	alpha/beta hydrolase	
EWS79_RS04565-MONOMER	EWS79_RS04565	alpha/beta hydrolase	
EWS79_RS05680-MONOMER	EWS79_RS05680	amidohydrolase	
EWS79_RS01325-MONOMER	EWS79_RS01325	amidohydrolase	
EWS79_RS06930-MONOMER	EWS79_RS06930	amidophosphoribosyltransferase	
EWS79_RS06675-MONOMER	EWS79_RS06675	amino acid permease	
EWS79_RS08070-MONOMER	EWS79_RS08070	amino acid permease	CCI-PM-BAC-NEG-GN
EWS79_RS08965-MONOMER	EWS79_RS08965	amino acid transporter	
EWS79_RS02175-MONOMER	EWS79_RS02175	aminoacyl-tRNA hydrolase	
EWS79_RS08640-MONOMER	EWS79_RS08640	aminoacyl-tRNA hydrolase	
EWS79_RS00465-MONOMER	EWS79_RS00465	aminodeoxychorismate synthase component I	
CPLX1W2W-14	EWS79_RS00470 // EWS79_RS00465	aminodeoxychorismate/anthranilate synthase	
EWS79_RS00860-MONOMER	EWS79_RS00860	aminodeoxychorismate/anthranilate synthase component II	
EWS79_RS00470-MONOMER	EWS79_RS00470	aminodeoxychorismate/anthranilate synthase component II	CCI-CYTOSOL-GN
EWS79_RS00575-MONOMER	EWS79_RS00575	aminoglycoside phosphotransferase	
EWS79_RS06510-MONOMER	EWS79_RS06510	aminoglycoside phosphotransferase	
EWS79_RS06965-MONOMER	EWS79_RS06965	aminoglycoside phosphotransferase	
EWS79_RS05985-MONOMER	EWS79_RS05985	aminopeptidase N	
EWS79_RS02105-MONOMER	EWS79_RS02105	aminopeptidase P family protein	
EWS79_RS00475-MONOMER	EWS79_RS00475	aminotransferase	
EWS79_RS01440-MONOMER	EWS79_RS01440	aminotransferase	
EWS79_RS00010-MONOMER	EWS79_RS00010	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	
EWS79_RS05665-MONOMER	EWS79_RS05665	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	CCI-CYTOSOL-GN
EWS79_RS04570-MONOMER	EWS79_RS04570	aminotransferase class V-fold PLP-dependent enzyme	
EWS79_RS02985-MONOMER	EWS79_RS02985	aminotransferase class V-fold PLP-dependent enzyme	CCI-CYTOSOL-GN
EWS79_RS01455-MONOMER	EWS79_RS01455	ammonium transporter	
EWS79_RS04590-MONOMER	EWS79_RS04590	anaerobic ribonucleoside-triphosphate reductase activating protein	
EWS79_RS07335-MONOMER	EWS79_RS07335	anhydro-N-acetylmuramic acid kinase	
EWS79_RS00160-MONOMER	EWS79_RS00160	ankyrin repeat domain-containing protein	
EWS79_RS00855-MONOMER	EWS79_RS00855	anthranilate phosphoribosyltransferase	CCI-CYTOSOL-GN
EWS79_RS01990-MONOMER	EWS79_RS01990	anthranilate synthase component I	
EWS79_RS07060-MONOMER	EWS79_RS07060	antibiotic biosynthesis monooxygenase	
EWS79_RS07975-MONOMER	EWS79_RS07975	antibiotic biosynthesis monooxygenase	
EWS79_RS05225-MONOMER	EWS79_RS05225	antibiotic biosynthesis monooxygenase	
EWS79_RS01170-MONOMER	EWS79_RS01170	apolipoprotein N-acyltransferase	
EWS79_RS06125-MONOMER	EWS79_RS06125	AraC family transcriptional regulator	
EWS79_RS01845-MONOMER	EWS79_RS01845	arginase family protein	
EWS79_RS02890-MONOMER	EWS79_RS02890	arginine N-succinyltransferase	
EWS79_RS03730-MONOMER	EWS79_RS03730	arginine--tRNA ligase	CCI-CYTOSOL-GN
EWS79_RS07930-MONOMER	EWS79_RS07930	argininosuccinate lyase	
EWS79_RS04620-MONOMER	EWS79_RS04620	argininosuccinate synthase	CCI-CYTOSOL-GN
EWS79_RS08970-MONOMER	EWS79_RS08970	ArgP/LysG family DNA-binding transcriptional regulator	
EWS79_RS01290-MONOMER	EWS79_RS01290	aryl-sulfate sulfotransferase	
EWS79_RS04095-MONOMER	EWS79_RS04095	ASCH domain-containing protein	
CPLX1W2W-1	EWS79_RS03465 // EWS79_RS03460 // EWS79_RS03455	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase	
EWS79_RS03460-MONOMER	EWS79_RS03460	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA	CCI-CYTOSOL-GN
EWS79_RS03455-MONOMER	EWS79_RS03455	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	CCI-CYTOSOL-GN
EWS79_RS03465-MONOMER	EWS79_RS03465	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	CCI-CYTOSOL-GN
EWS79_RS07530-MONOMER	EWS79_RS07530	asparaginase	
EWS79_RS06135-MONOMER	EWS79_RS06135	aspartate aminotransferase family protein	
EWS79_RS01735-MONOMER	EWS79_RS01735	aspartate aminotransferase family protein	CCI-CYTOSOL-GN
EWS79_RS03500-MONOMER	EWS79_RS03500	aspartate carbamoyltransferase	CCI-CYTOSOL-GN
EWS79_RS07390-MONOMER	EWS79_RS07390	aspartate kinase	
EWS79_RS03160-MONOMER	EWS79_RS03160	aspartate--tRNA ligase	
EWS79_RS06250-MONOMER	EWS79_RS06250	aspartate-semialdehyde dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS01565-MONOMER	EWS79_RS01565	aspartate/glutamate racemase family protein	
EWS79_RS05175-MONOMER	EWS79_RS05175	aspartate/glutamate racemase family protein	
EWS79_RS04165-MONOMER	EWS79_RS04165	aspartate/tyrosine/aromatic aminotransferase	
EWS79_RS00040-MONOMER	EWS79_RS00040	assimilatory sulfite reductase (NADPH) hemoprotein subunit	
EWS79_RS06900-MONOMER	EWS79_RS06900	ATP phosphoribosyltransferase	CCI-CYTOSOL-GN
EWS79_RS07545-MONOMER	EWS79_RS07545	ATP phosphoribosyltransferase regulatory subunit	
EWS79_RS01040-MONOMER	EWS79_RS01040	ATP synthase F1 subunit epsilon	
EWS79_RS04545-MONOMER	EWS79_RS04545	ATP-binding cassette domain-containing protein	
EWS79_RS07100-MONOMER	EWS79_RS07100	ATP-binding cassette domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS05635-MONOMER	EWS79_RS05635	ATP-binding cassette domain-containing protein	
EWS79_RS08020-MONOMER	EWS79_RS08020	ATP-binding cassette domain-containing protein	
EWS79_RS00455-MONOMER	EWS79_RS00455	ATP-binding cassette domain-containing protein	
EWS79_RS01015-MONOMER	EWS79_RS01015	ATP-binding protein	
EWS79_RS07235-MONOMER	EWS79_RS07235	ATP-binding protein	
EWS79_RS02460-MONOMER	EWS79_RS02460	ATP-binding protein	
EWS79_RS00510-MONOMER	EWS79_RS00510	ATP-binding protein	
EWS79_RS06335-MONOMER	EWS79_RS06335	ATP-dependent chaperone ClpB	CCI-CYTOSOL-GN
EWS79_RS07740-MONOMER	EWS79_RS07740	ATP-dependent Clp protease adapter ClpS	CCI-CYTOSOL-GN
EWS79_RS01720-MONOMER	EWS79_RS01720	ATP-dependent Clp protease ATP-binding subunit ClpA	CCI-CYTOSOL-GN
EWS79_RS04230-MONOMER	EWS79_RS04230	ATP-dependent Clp protease ATP-binding subunit ClpX	CCI-CYTOSOL-GN
EWS79_RS04225-MONOMER	EWS79_RS04225	ATP-dependent Clp protease proteolytic subunit	CCI-CYTOSOL-GN
EWS79_RS03950-MONOMER	EWS79_RS03950	ATP-dependent DNA helicase	
EWS79_RS07345-MONOMER	EWS79_RS07345	ATP-dependent DNA helicase RecG	
EWS79_RS02490-MONOMER	EWS79_RS02490	ATP-dependent helicase HrpB	
EWS79_RS07420-MONOMER	EWS79_RS07420	ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein	CCI-PM-BAC-NEG-GN
EWS79_RS01060-MONOMER	EWS79_RS01060	ATP-dependent protease ATPase subunit HslU	
EWS79_RS01055-MONOMER	EWS79_RS01055	ATP-dependent protease subunit HslV	CCI-CYTOSOL-GN
EWS79_RS05220-MONOMER	EWS79_RS05220	ATPase	
EWS79_RS01880-MONOMER	EWS79_RS01880	ATPase	
EWS79_RS02955-MONOMER	EWS79_RS02955	ATPase	
EWS79_RS01415-MONOMER	EWS79_RS01415	ATPase	CCI-CYTOSOL-GN
EWS79_RS02960-MONOMER	EWS79_RS02960	ATPase	
EWS79_RS03905-MONOMER	EWS79_RS03905	ATPase	
EWS79_RS02405-MONOMER	EWS79_RS02405	ATPase	
EWS79_RS00910-MONOMER	EWS79_RS00910	autotransporter domain-containing protein	
EWS79_RS06600-MONOMER	EWS79_RS06600	autotransporter domain-containing protein	
