Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS08690-MONOMER	EWS79_RS08690	primosomal protein N'	
EWS79_RS01965-MONOMER	EWS79_RS01965	proline--tRNA ligase	
EWS79_RS01245-MONOMER	EWS79_RS01245	prolipoprotein diacylglyceryl transferase	
EWS79_RS07490-MONOMER	EWS79_RS07490	protein disulfide-isomerase	
EWS79_RS08560-MONOMER	EWS79_RS08560	protein translocase subunit SecD	
EWS79_RS08555-MONOMER	EWS79_RS08555	protein translocase subunit SecF	CCI-PM-BAC-NEG-GN
EWS79_RS07315-MONOMER	EWS79_RS07315	protein-export chaperone SecB	CCI-CYTOSOL-GN
EWS79_RS00335-MONOMER	EWS79_RS00335	protein-glutamate O-methyltransferase CheR	CCI-CYTOSOL-GN
EWS79_RS07835-MONOMER	EWS79_RS07835	proteinase IV	
EWS79_RS02550-MONOMER	EWS79_RS02550	pseudouridine synthase	
EWS79_RS05915-MONOMER	EWS79_RS05915	PTS sugar transporter subunit IIA	CCI-CYTOSOL-GN
EWS79_RS04320-MONOMER	EWS79_RS04320	purine nucleoside permease	
EWS79_RS06470-MONOMER	EWS79_RS06470	purine nucleoside permease	
EWS79_RS03675-MONOMER	EWS79_RS03675	putative lipid II flippase FtsW	
EWS79_RS08150-MONOMER	EWS79_RS08150	putative nitrogen fixation protein NifT	
EWS79_RS01435-MONOMER	EWS79_RS01435	pyridoxal phosphate-dependent aminotransferase	CCI-CYTOSOL-GN
EWS79_RS02465-MONOMER	EWS79_RS02465	pyridoxal phosphate-dependent aminotransferase	
EWS79_RS08855-MONOMER	EWS79_RS08855	pyridoxal phosphate-dependent aminotransferase	
EWS79_RS02475-MONOMER	EWS79_RS02475	pyridoxal phosphate-dependent aminotransferase	
EWS79_RS03765-MONOMER	EWS79_RS03765	pyridoxamine 5'-phosphate oxidase	CCI-PERI-BAC-GN
EWS79_RS07650-MONOMER	EWS79_RS07650	pyridoxine 5'-phosphate synthase	
EWS79_RS01835-MONOMER	EWS79_RS01835	pyrimidine 5'-nucleotidase	CCI-CYTOSOL-GN
EWS79_RS05805-MONOMER	EWS79_RS05805	pyrroline-5-carboxylate reductase	
EWS79_RS01320-MONOMER	EWS79_RS01320	pyrroline-5-carboxylate reductase	
EWS79_RS01930-MONOMER	EWS79_RS01930	pyrrolo-quinoline quinone	CCI-OUTER-MEM-GN
EWS79_RS06045-MONOMER	EWS79_RS06045	pyruvate decarboxylase	
CPLX1W2W-7	EWS79_RS07165 // EWS79_RS07160	pyruvate dehydrogenase	
EWS79_RS07165-MONOMER	EWS79_RS07165	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	CCI-CYTOSOL-GN
EWS79_RS02195-MONOMER	EWS79_RS02195	pyruvate dehydrogenase complex dihydrolipoamide acetyltransferase	
EWS79_RS07160-MONOMER	EWS79_RS07160	pyruvate dehydrogenase complex E1 component subunit beta	CCI-CYTOSOL-GN
EWS79_RS06975-MONOMER	EWS79_RS06975	pyruvate formate lyase-activating protein	CCI-CYTOSOL-GN
EWS79_RS00620-MONOMER	EWS79_RS00620	pyruvate kinase	CCI-CYTOSOL-GN
EWS79_RS08440-MONOMER	EWS79_RS08440	quinolinate synthase NadA	
EWS79_RS09040-MONOMER	EWS79_RS09040	quinone oxidoreductase	
EWS79_RS00065-MONOMER	EWS79_RS00065	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	CCI-CYTOSOL-GN
EWS79_RS06480-MONOMER	EWS79_RS06480	recombinase family protein	
EWS79_RS03935-MONOMER	EWS79_RS03935	recombinase family protein	
EWS79_RS05210-MONOMER	EWS79_RS05210	recombinase RecA	CCI-CYTOSOL-GN
EWS79_RS03110-MONOMER	EWS79_RS03110	recombinase RecX	CCI-CYTOSOL-GN
EWS79_RS03590-MONOMER	EWS79_RS03590	recombination protein RecR	CCI-CYTOSOL-GN
EWS79_RS08645-MONOMER	EWS79_RS08645	redox-regulated ATPase YchF	
EWS79_RS00705-MONOMER	EWS79_RS00705	redox-sensitive transcriptional activator SoxR	
EWS79_RS07400-MONOMER	EWS79_RS07400	redoxin domain-containing protein	CCI-PM-BAC-NEG-GN
EWS79_RS08785-MONOMER	EWS79_RS08785	RepA replication protein	
EWS79_RS00500-MONOMER	EWS79_RS00500	replication-associated recombination protein A	
EWS79_RS03835-MONOMER	EWS79_RS03835	replicative DNA helicase	CCI-CYTOSOL-GN
EWS79_RS01070-MONOMER	EWS79_RS01070	response regulator	
EWS79_RS06240-MONOMER	EWS79_RS06240	response regulator	
EWS79_RS07785-MONOMER	EWS79_RS07785	response regulator	CCI-CYTOSOL-GN
EWS79_RS00320-MONOMER	EWS79_RS00320	response regulator	CCI-CYTOSOL-GN
EWS79_RS02645-MONOMER	EWS79_RS02645	response regulator	
EWS79_RS05895-MONOMER	EWS79_RS05895	response regulator transcription factor	
EWS79_RS01105-MONOMER	EWS79_RS01105	response regulator transcription factor	CCI-CYTOSOL-GN
EWS79_RS02035-MONOMER	EWS79_RS02035	response regulator transcription factor	CCI-CYTOSOL-GN
EWS79_RS05255-MONOMER	EWS79_RS05255	response regulator transcription factor	CCI-CYTOSOL-GN
EWS79_RS06155-MONOMER	EWS79_RS06155	response regulator transcription factor	CCI-CYTOSOL-GN
EWS79_RS00135-MONOMER	EWS79_RS00135	restriction endonuclease	
EWS79_RS07200-MONOMER	EWS79_RS07200	rhomboid family intramembrane serine protease	
EWS79_RS02020-MONOMER	EWS79_RS02020	riboflavin synthase	
EWS79_RS01200-MONOMER	EWS79_RS01200	ribonuclease D	CCI-CYTOSOL-GN
EWS79_RS03155-MONOMER	EWS79_RS03155	ribonuclease D	
EWS79_RS00825-MONOMER	EWS79_RS00825	ribonuclease E/G	CCI-CYTOSOL-GN
EWS79_RS07140-MONOMER	EWS79_RS07140	ribonuclease HI	
EWS79_RS04475-MONOMER	EWS79_RS04475	ribonuclease HII	
EWS79_RS08430-MONOMER	EWS79_RS08430	ribonuclease I	
EWS79_RS06105-MONOMER	EWS79_RS06105	ribonuclease III	CCI-CYTOSOL-GN
EWS79_RS08415-MONOMER	EWS79_RS08415	ribonuclease J	CCI-CYTOSOL-GN
EWS79_RS00070-MONOMER	EWS79_RS00070	ribonuclease PH	CCI-CYTOSOL-GN
EWS79_RS04890-MONOMER	EWS79_RS04890	ribonuclease R	
EWS79_RS04580-MONOMER	EWS79_RS04580	ribonucleoside triphosphate reductase	CCI-CYTOSOL-GN
EWS79_RS04630-MONOMER	EWS79_RS04630	ribonucleoside-diphosphate reductase subunit alpha	
EWS79_RS01890-MONOMER	EWS79_RS01890	ribonucleotide-diphosphate reductase subunit beta	CCI-CYTOSOL-GN
EWS79_RS05370-MONOMER	EWS79_RS05370	ribose 5-phosphate isomerase B	
EWS79_RS06775-MONOMER	EWS79_RS06775	ribose-phosphate pyrophosphokinase	CCI-CYTOSOL-GN
EWS79_RS06285-MONOMER	EWS79_RS06285	ribosomal-protein-alanine N-acetyltransferase	
EWS79_RS01935-MONOMER	EWS79_RS01935	ribosome biogenesis GTPase Der	CCI-CYTOSOL-GN
EWS79_RS04800-MONOMER	EWS79_RS04800	ribosome maturation factor RimM	CCI-CYTOSOL-GN
EWS79_RS02450-MONOMER	EWS79_RS02450	ribosome maturation factor RimP	CCI-CYTOSOL-GN
EWS79_RS05150-MONOMER	EWS79_RS05150	ribosome recycling factor	CCI-CYTOSOL-GN
EWS79_RS07440-MONOMER	EWS79_RS07440	ribosome silencing factor	
EWS79_RS00175-MONOMER	EWS79_RS00175	ribosome-associated translation inhibitor RaiA	
EWS79_RS00090-MONOMER	EWS79_RS00090	ribulose-phosphate 3-epimerase	
EWS79_RS01075-MONOMER	EWS79_RS01075	RidA family protein	
EWS79_RS08840-MONOMER	EWS79_RS08840	RidA family protein	
EWS79_RS05130-MONOMER	EWS79_RS05130	RIP metalloprotease RseP	CCI-PM-BAC-NEG-GN
EWS79_RS01705-MONOMER	EWS79_RS01705	RlmE family RNA methyltransferase	CCI-CYTOSOL-GN
EWS79_RS03325-MONOMER	EWS79_RS03325	RluA family pseudouridine synthase	
EWS79_RS01870-MONOMER	EWS79_RS01870	RluA family pseudouridine synthase	
EWS79_RS01460-MONOMER	EWS79_RS01460	RNA chaperone Hfq	CCI-CYTOSOL-GN
EWS79_RS03145-MONOMER	EWS79_RS03145	RNA degradosome polyphosphate kinase	
EWS79_RS05265-MONOMER	EWS79_RS05265	RNA methyltransferase	
EWS79_RS05925-MONOMER	EWS79_RS05925	RNA methyltransferase	
