Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
EWS79_RS06355-MONOMER	Outer_Membrane	EWS79_RS06355()	Outer_Membrane	s
EWS79_RS03530-MONOMER	Outer_Membrane	EWS79_RS03530()	Outer_Membrane	s
EWS79_RS05615-MONOMER	Inner_Membrane	EWS79_RS05615()	Inner_Membrane	s
EWS79_RS07520-MONOMER	Inner_Membrane	EWS79_RS07520()	Inner_Membrane	s
EWS79_RS01760-MONOMER	Inner_Membrane	EWS79_RS01760()	Inner_Membrane	s
ZMO1683-MONOMER	Periplasm	ZMO1683()	Periplasm	s
ZMO1389-MONOMER	Inner_Membrane	ZMO1389()	Inner_Membrane	r
ZMO0828-MONOMER	Inner_Membrane	ZMO0828()	Inner_Membrane	r
ZMO1419-MONOMER	Inner_Membrane	ZMO1419()	Inner_Membrane	r
ZMO0719-MONOMER	Periplasm	ZMO0719()	Periplasm	s
CPLX_PEPTIDOr_ZM-0	Periplasm	ZMO0719()	Periplasm	s
ZMO1189-MONOMER	Inner_Membrane	ZMO1189()	Inner_Membrane	r
ZMO0293-MONOMER	Inner_Membrane	ZMO0293()	Inner_Membrane	r
ZMO0558-MONOMER	Periplasm	ZMO0558()	Periplasm	s
ZMO1151-MONOMER	Inner_Membrane	ZMO1151()	Inner_Membrane	r
ZMO1639-MONOMER	Inner_Membrane	ZMO1639()	Inner_Membrane	r
CPLX_PEPTIDOr_ZM-0	Inner_Membrane	ZMO1639()	Inner_Membrane	r
EWS79_RS06955-MONOMER	Inner_Membrane	EWS79_RS06955()	Inner_Membrane	r
ZMO0846-MONOMER	Inner_Membrane	ZMO0846()	Inner_Membrane	r
ZMO0162-MONOMER	Outer_Membrane	ZMO0162()	Inner_Membrane	s
ZMO0161-MONOMER	Outer_Membrane	ZMO0161()	Inner_Membrane	p
ZMO0099-MONOMER	Inner_Membrane	ZMO0099()	Inner_Membrane	r
ZMO1115-MONOMER	Inner_Membrane	ZMO1115()	Inner_Membrane	r
ZMO0915-MONOMER	Inner_Membrane	ZMO0915()	Inner_Membrane	r
ZMO0282-MONOMER	Outer_Membrane	ZMO0282()	Inner_Membrane	pa
ZMO0052-MONOMER	Inner_Membrane	ZMO0052()	Inner_Membrane	r
ZMO1571-MONOMER	Inner_Membrane	ZMO1571()	Inner_Membrane	r
CPLX_CYTBDpp_Q10-0	Inner_Membrane	ZMO1571()	Inner_Membrane	r
ZMO1572-MONOMER	Inner_Membrane	ZMO1572()	Inner_Membrane	r
CPLX_CYTBDpp_Q10-0	Inner_Membrane	ZMO1572()	Inner_Membrane	r
ZMO1338-MONOMER	Inner_Membrane	ZMO1338()	Inner_Membrane	r
ZMO0578-MONOMER	Inner_Membrane	ZMO0578()	Inner_Membrane	r
