Reaction	Complexes
GRXR	ZMO0573-MONOMER OR ZMO0753-MONOMER OR ZMO1873-MONOMER
GTHOr	ZMO1211-MONOMER_mod_fad(1)
GTHRDHpp	ZMO1388-MONOMER
GTHS	ZMO1913-MONOMER
GTPCI	ZMO1229-MONOMER_mod_zn2(1)
GTPCII2	ZMO1698-MONOMER_mod_mg2(1) OR ZMO0474-MONOMER_mod_mg2(1)
GUAD	ZMO0939-MONOMER_mod_zn2(1)
GUAPRT	ZMO0656-MONOMER
HBZDPT	ZMO1419-MONOMER_mod_mg2(1)
HCITS	ZMO1835-MONOMER
HCO3E	ZMO1133-MONOMER_mod_zn2(1)
HEX1	ZMO0369-MONOMER
HEX7	ZMO1719-MONOMER
HISTD	ZMO1551-MONOMER_mod_mn2(1)
HISTP	ZMO1518-MONOMER
HISTRS	ZMO1508-MONOMER_mod_mg2(4)
HMBS	ZMO1903-MONOMER_mod_dpm(1)
HMPK1	ZMO1003-MONOMER
HPN1	ZMO0874-MONOMER
HPN2	ZMO0873-MONOMER
HPN4	ZMO0972-MONOMER
HPN5	ZMO0974-MONOMER
HPN6	ZMO0973-MONOMER
HPPK2	ZMO1647-MONOMER_mod_mg2(1)
HPYRRx	ZMO1883-MONOMER
HPYRRy	ZMO1883-MONOMER
HSDy	ZMO0483-MONOMER
HSERTA	ZMO0225-MONOMER
HSK	ZMO1600-MONOMER
HSTPT	ZMO0421-MONOMER_mod_pydx5p(1)
HXPRT	ZMO0656-MONOMER
ICDHyr	ZMO0544-MONOMER_mod_mn2(1) OR ZMO0544-MONOMER_mod_mg2(1)
ICHORT	ZMO0758-MONOMER OR ZMO1887-MONOMER
ICYSDS	ZMO1834-MONOMER_mod_pydx5p(2)
IG3PS	CPLX_IG3PS-0
IGPDH	ZMO1503-MONOMER_mod_mg2(1) OR ZMO1503-MONOMER_mod_mn2(1)
IGPS	ZMO0545-MONOMER
ILETA	ZMO0913-MONOMER_mod_pydx5p(6) OR ZMO0913-MONOMER_mod_pydx5p(1)
ILETRS	ZMO0323-MONOMER
IMPC	ZMO0027-MONOMER
IMPD	ZMO1321-MONOMER
IPDPS	ZMO0875-MONOMER
IPMD	ZMO0677-MONOMER_mod_mg2(1)_mod_mn2(1)
IPPMIa	CPLX_IPPMIa-0
IPPMIb	CPLX_IPPMIa-0
IPPS	ZMO0903-MONOMER
ISETACabcpp	CPLX_BUTSO3abcpp-0
K2L4Aabctex	CPLX_K2L4Aabctex-0
KARA1	ZMO1141-MONOMER_mod_mg2(1)
KARA2	ZMO1141-MONOMER_mod_mg2(1)
KAS14	ZMO1278-MONOMER
KAS15	ZMO1899-MONOMER
KDOCT2	ZMO1489-MONOMER_mod_mg2(1)
KDOPS	ZMO1488-MONOMER
Kt2pp	ZMO1209-MONOMER
LACZ	ZMO0904-MONOMER
LALADGLUtpp	ZMO1001-MONOMER
LALALGLUtpp	ZMO1001-MONOMER
LDH_D	ZMO0256-MONOMER OR ZMO1237-MONOMER
LDH_D2_Q10	ZMO0256-MONOMER
LEUTAi	ZMO0913-MONOMER_mod_pydx5p(6) OR ZMO0913-MONOMER_mod_pydx5p(1)
LEUTRS	ZMO1435-MONOMER
