complex_id,name,genes,mod,replace
CPLX_ASPabcpp-42,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5507() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-43,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5507() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-44,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5721() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-45,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5721() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-46,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5721() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-47,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5721() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-48,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.12() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-49,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.12() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-50,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.12() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-51,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.12() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-52,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.560() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-53,L-aspartate transport via ABC system (periplasm),222.273.peg.3385() AND 222.273.peg.560() AND 222.273.peg.561() AND 222.273.peg.15(),,
