Reaction	Metabolites	Stoichiometry
RNTR1c22	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	2.0
RNTR1c22	atp	-1.0
RNTR1c22	datp	1.0
RNTR1c22	h2o	1.0
RNTR1c22	FLAVODOXIN2-MONOMER	-2.0
EAR100x1	nadh	-1.0
EAR100x1	h	-1.0
EAR100x1	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	1.0
EAR100x1	nad	1.0
EAR100x1	EG50003-MONOMER_mod_pan4p(1)_mod_tdec2e(1)	-1.0
MPTSS1	EG11597-MONOMER	-1.0
MPTSS1	ppi	1.0
MPTSS1	h	-1.0
MPTSS1	atp	-1.0
MPTSS1	EG11597-MONOMER_mod_amp(1)	1.0
RNDR22	dgdp	1.0
RNDR22	h2o	1.0
RNDR22	RED-THIOREDOXIN2-MONOMER	-1.0
RNDR22	gdp	-1.0
RNDR22	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
RNDR21	dgdp	1.0
RNDR21	RED-THIOREDOXIN-MONOMER	-1.0
RNDR21	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR21	gdp	-1.0
RNDR21	h2o	1.0
EAR160x1	nadh	-1.0
EAR160x1	h	-1.0
EAR160x1	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1.0
EAR160x1	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	-1.0
EAR160x1	nad	1.0
OGMEACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_egme(1)	1.0
OGMEACPD1	h2o	1.0
OGMEACPD1	EG50003-MONOMER_mod_pan4p(1)_mod_hgme(1)	-1.0
OGMEACPR1	nadp	1.0
OGMEACPR1	h	-1.0
OGMEACPR1	nadph	-1.0
OGMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_ogme(1)	-1.0
OGMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_hgme(1)	1.0
RNTR3c22	dctp	1.0
RNTR3c22	ctp	-1.0
RNTR3c22	h	-2.0
RNTR3c22	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	2.0
RNTR3c22	h2o	1.0
RNTR3c22	FLAVODOXIN2-MONOMER	-2.0
RNTR3c21	dctp	1.0
RNTR3c21	FLAVODOXIN1-MONOMER	-2.0
RNTR3c21	ctp	-1.0
RNTR3c21	h	-2.0
RNTR3c21	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	2.0
RNTR3c21	h2o	1.0
PDX5PS1	phthr	-1.0
PDX5PS1	co2	1.0
PDX5PS1	3a1hac1p	1.0
PDX5PS1	nadh	1.0
PDX5PS1	nad	-1.0
PDX5PS2	3a1hac1p	-1.0
PDX5PS2	dxyl5p	-1.0
PDX5PS2	h	1.0
PDX5PS2	pdx5p	1.0
PDX5PS2	pi	1.0
PDX5PS2	h2o	2.0
RNTR2c21	FLAVODOXIN1-MONOMER	-2.0
RNTR2c21	dgtp	1.0
RNTR2c21	h	-2.0
RNTR2c21	gtp	-1.0
RNTR2c21	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	2.0
RNTR2c21	h2o	1.0
RNTR2c22	dgtp	1.0
RNTR2c22	h	-2.0
RNTR2c22	gtp	-1.0
RNTR2c22	FLAVODOXIN2-MONOMER_mod_Oxidized(1)	2.0
RNTR2c22	h2o	1.0
RNTR2c22	FLAVODOXIN2-MONOMER	-2.0
EAR161x1	nadh	-1.0
EAR161x1	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	-1.0
EAR161x1	h	-1.0
EAR161x1	nad	1.0
EAR161x1	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	1.0
S_transfer_to_IscU_mod_fe2(2)	IscU_mod_fe2(2)	-1.0
S_transfer_to_IscU_mod_fe2(2)	IscS_mod_pydx5p(2)	1.0
S_transfer_to_IscU_mod_fe2(2)	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
S_transfer_to_IscU_mod_fe2(2)	h	4.0
S_transfer_to_IscU_mod_fe2(2)	IscU_mod_2fe1s(1)	1.0
PAPSR23	CPLX0-7817_mod_Oxidized(1)	1.0
PAPSR23	h	2.0
PAPSR23	paps	-1.0
PAPSR23	CPLX0-7817	-1.0
PAPSR23	so3	1.0
PAPSR23	pap	1.0
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1201	h	-1.0
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)	-1.0
3OAS1201	co2	1.0
3OAS1201	EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)	1.0
3OAS1201	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1401	h2o	1.0
3HAD1401	EG50003-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)	1.0
3HAD1401	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)	-1.0
ACPPAT1801	pi	-1.0
ACPPAT1801	h	-1.0
ACPPAT1801	ocdcap	1.0
ACPPAT1801	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	-1.0
ACPPAT1801	EG50003-MONOMER_mod_pan4p(1)	1.0
I4FE4SR1	IscU_mod_2fe2s(2)	-1.0
I4FE4SR1	h	-2.0
I4FE4SR1	fad	1.0
I4FE4SR1	IscU_mod_4fe4s(1)	1.0
I4FE4SR1	fadh2	-1.0
PMEACPE1	EG50003-MONOMER_mod_pan4p(1)_mod_pim(1)	1.0
PMEACPE1	meoh	1.0
PMEACPE1	EG50003-MONOMER_mod_pan4p(1)_mod_pme(1)	-1.0
PMEACPE1	h2o	-1.0
RNDR31	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR31	RED-THIOREDOXIN-MONOMER	-1.0
RNDR31	h2o	1.0
RNDR31	dcdp	1.0
RNDR31	cdp	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)	IscU_mod_2fe2s(1)_mod_fe2(1)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)	EG11653-MONOMER	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)	EG11653-MONOMER_mod_fe2(1)	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)	IscU_mod_2fe2s(1)	-1.0
AACPS21	ppi	1.0
AACPS21	atp	-1.0
AACPS21	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	1.0
AACPS21	amp	1.0
AACPS21	ttdcea	-1.0
AACPS21	EG50003-MONOMER_mod_pan4p(1)	-1.0
MPTS1	cpmp	-1.0
MPTS1	EG11597-MONOMER	2.0
MPTS1	h	5.0
MPTS1	mpt	1.0
MPTS1	EG11597-MONOMER_mod_cosh(1)	-2.0
MPTS1	cu2	-1.0
FA160ACPHi1	h2o	-1.0
FA160ACPHi1	h	1.0
FA160ACPHi1	hdca	1.0
FA160ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
FA160ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
DSBGGT1	DSBG-CPLX_mod_Oxidized(1)	-1.0
DSBGGT1	gthox	1.0
DSBGGT1	DSBG-CPLX	1.0
DSBGGT1	gthrd	-2.0
EAR80x1	nadh	-1.0
EAR80x1	h	-1.0
EAR80x1	EG50003-MONOMER_mod_pan4p(1)_mod_toct2e(1)	-1.0
EAR80x1	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	1.0
