Transcription-Units	Genes of transcription unit	Direction
TU0-14192	G7912 // G7911 // G7910	-
TU0-14159	EG12504	+
TU0-6660	EG10743 // EG10914	-
TU306	EG10518	+
TU103	EG10802	+
TU0-13866	G7617	+
TU343	EG30061	-
TU0-13835	EG12656	+
TU0-8667	EG11929	-
TU0-14737	EG10281	+
TU0-14678	EG11627 // EG11626 // EG11625 // EG11624	-
TU0-42640	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-13868	G7621 // G7620	+
TU0-42582	EG10366 // EG10362	-
TU0-13471	G7063	+
TU0-13049	G6407 // G6406 // G6405	-
TU0-13021	G0-17083 // G6371 // G6370	+
TU0-6581	EG12766 // G7633 // G7632 // G7631	+
TU0-14739	EG10668	-
TU0-6485	EG10138	+
TU00183	EG10539	-
TU0-8642	G6955	-
TU0-8612	G7853	+
TU0-13443	G7021 // G7020 // G7019	+
TU0-42650	EG10754 // G6456 // G6457	-
TU0-13415	G6993	+
TU0-14199	G7927 // G7926 // G7925	-
TU00159	EG10357	-
TU00130	EG11054	-
TU0-14171	G7880	-
TU0-13051	EG11581	+
TU0-14141	G7834	+
TU352	EG10061	-
TU183	EG10312	+
TU00513	EG30094	-
TU0-13848	EG11673	-
TU0-6583	G7636 // G7635 // EG12770 // EG12769 // EG12768 // G7634	+
TU0-13819	EG12882	-
TU0-13874	G7640 // G7639 // G7638	+
TU0-14694	EG10735 // EG10783	-
TU0-14656	G7650 // G7651	-
TU0-42600	EG11747	-
TU0-8644	G6979	-
TU0-42559	EG11149	+
TU0-14746	EG12734 // G81	-
TU0-13033	EG12359	-
TU0-13003	EG11305	+
TU0-6512	EG10895 // EG10894 // EG10873 // EG10871 // EG10864 // EG10872	+
TU0-13445	G7026	+
TU0-6405	EG11067	-
TU0-42666	G6550	+
TU0-8625	G0-16685 // G7923	+
TU0-8595	EG11697	+
TU0-13427	G7007 // G7006	+
TU00161	EG10336 // EG10337 // G7990	-
TU0-13399	G6967	-
TU0-13058	EG12134	-
TU00142	EG10176 // EG10175 // EG10177	+
TU00114	EG11672 // EG11669 // EG11670 // EG11671	+
TU0-14155	G7851	-
TU0-14173	G7883	+
TU0-14123	EG11939	+
TU0-6629	EG12358 // G6476 // G6477 // G6478 // G6479	-
TU00526	G7347 // G7348 // EG12341	-
TU00497	EG30020	+
TU0-13831	G7570	-
TU221	EG10897	-
TU0-13801	EG11791 // EG11792 // G7520 // EG11245 // EG11162 // EG11161	-
TU0-8650	G7239	+
TU0-14674	EG10599	+
TU0-14637	EG11892	-
TU0-42577	EG11784	-
TU0-13851	EG12720	+
TU0-42532	EG12194 // EG12193	-
TU0-13452	EG10935	-
TU0-13015	G6360	-
TU0-12987	G6324	-
TU0-6481	EG10032	+
TU0-14697	EG12241 // EG12240	+
TU0-6	EG10188	+
TU00167	EG11012	+
TU0-8608	EG11937	-
TU0-8578	EG11315	+
TU0-13411	G6988 // G6987	+
TU0-42603	EG10276 // EG10275	+
TU0-13380	G0-10453	+
TU0-14179	G7895 // G7894 // G0-10546	+
TU00126	EG11143	+
TU00097	G0-10588 // EG11380 // EG11379 // EG10049	+
TU0-14136	G7825	-
TU0-13035	G6391	+
TU0-14105	EG11206	+
TU262	EG11828 // EG11829	-
TU00509	EG30093	-
TU00481	EG10788 // EG10789 // EG10165	+
TU0-13815	G7541	-
TU0-6514	EG11296 // EG10945	+
TU0-13783	G7503 // G7502 // G7501	+
TU0-13857	G7605	+
TU0-14651	EG10510	-
TU0-14616	G6283 // G6282	+
TU0-42549	G6706	-
TU0-8627	EG12343	-
TU0-42509	EG10980 // EG10979	+
TU0-14714	G7264 // G7263	+
TU0-12999	G6344 // G6343 // G6342 // G6341 // G6340 // G6339	-
TU0-12967	G6292 // G6291	+
TU0-6363	G6402	-
TU0-13429	G7009	+
TU0-5601	EG10891 // EG10886 // EG11312	-
TU0-42616	EG11002	-
TU0-8591	EG12288	-
TU0-8561	G6351	-
TU0-13393	G6957	-
TU00144	EG10193 // EG10183 // EG10198 // EG10197 // EG10195	-
TU0-13364	G6902 // G6901 // G6900	-
TU0-13041	G6396	+
TU00110	EG10134 // EG10135	+
TU00081	EG10500 // EG10499	+
TU0-14119	EG10236	+
TU0-14157	G7854	-
TU0-14080	EG10929	+
TU0-6554	EG10682	-
TU00493	EG30111 // EG30112	+
TU00465	EG10757	-
TU0-13796	G7515	-
TU101	EG20248 // EG11066	+
TU0-13766	G7476 // G7475	-
TU0-8633	G6438	-
TU0-14633	EG10803	+
TU0-14567	EG10435 // EG10436 // EG10437 // EG10438	+
TU0-42525	EG10335	+
TU0-13833	G7573	-
TU0-42481	EG10367	+
TU0-13435	EG11004	-
TU0-12981	EG11635	+
TU0-12947	EG10051	+
TU0-5961	EG10200	-
TU0-14676	EG11627 // EG11626 // EG11625 // EG11624	-
TU0-5322	EG12357 // G6923 // G6922 // G6921 // G6920	+
TU00151	EG10290 // EG10289 // EG10288 // EG10287 // EG10286	-
TU0-8574	G7647	+
TU0-8545	G6103	-
TU0-13376	EG12391	+
TU0-42580	EG10362	-
TU0-13348	G6865	+
TU0-14163	G7870	+
TU00093	EG10617	-
TU00065	EG10976	+
TU0-14099	EG10123 // EG11205	+
TU0-13017	G6363 // G6362	-
TU0-14063	EG11840	+
TU123	EG10802	+
TU00477	EG10670	-
TU00447	EG10156	+
TU0-13779	G7495	-
TU0-6483	EG10108	+
TU0-13748	G7460	+
TU0-13839	G0-9387 // EG10465	-
TU0-14612	EG12867	-
TU0-14545	G6789 // G6790	-
TU0-42501	G6603	-
TU0-8610	G7833	-
TU0-42461	G6731	-
TU0-14682	G0-9562	+
TU0-12963	EG10758 // EG12666	-
TU0-12931	G6243	+
TU0-5567	G7532 // EG10627	+
TU0-13413	G6991 // G6990	-
TU0-5081	G6866 // EG11658 // EG11055	-
TU0-42589	EG10835	-
TU0-8557	G6316	-
TU0-8528	EG10995	-
TU0-13360	EG12141	+
TU00128	EG10352 // EG10349 // EG10350 // EG10355 // EG10353	+
TU0-13330	EG31115	+
TU0-13025	EG11521	+
TU00077	EG10184	+
TU00049	EG10670	-
TU0-14075	EG11864 // EG11863 // EG11862 // EG11861	-
TU0-14139	EG12469	-
TU0-14046	EG10738	+
TU0-6504	EG10390	+
TU00460	EG10292 // EG10291	-
TU00430	EG11022	-
TU0-13762	G7471	+
TU00511	EG11016 // EG30108 // EG30106	-
TU0-13731	G7439	-
TU0-8616	EG11436	-
TU0-14561	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281	+
TU0-14521	EG10524 // EG10526	-
TU0-42477	EG10531	+
TU0-13817	G7551 // G7550	-
TU0-42202	EG10908	-
TU0-13419	G6998	+
