Transcription-Units	Genes of transcription unit	Direction
TU0-45259	G6492 // G6491 // G6490	+
TU0-13149	G6588	-
TU0-8325	EG12116	+
TU0-12879	G6164	-
TU0-14319	EG10460 // EG10458 // EG10459	-
TU00505	EG30038 // EG30040 // EG30041	+
TU0-8359	G8205	-
TU0-13222	G6670 // G6669 // EG12853 // EG10668	-
TU0-45288	EG12189	+
TU0-13810	G7534	+
TU0-13253	EG10172	+
TU0-7746	G7234 // G7235 // G7236 // G7237 // G7238	-
TU0-8820	EG12717	-
TU0-8481	G7748	+
TU794	EG11325	+
TU0-14647	G7321	-
TU0-8848	EG10535	+
TU00324	EG10552 // EG10762	-
TU0-13284	EG12713	-
TU0-42544	G7919 // G7920 // G7921	-
TU00356	EG11014 // EG11134 // EG10943	-
TU0-8743	EG12445	+
TU0-13621	G7258	-
TU00006	EG10069	-
TU0-13978	EG12270 // EG10986	+
TU0-12995	G6333	-
TU0-13651	EG10650	-
TU0-14373	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU0-14002	EG11193	+
TU0-6281	EG11204 // EG10126	+
TU0-14412	EG10258	-
TU0-13553	EG12042	-
TU0-12801	EG11570	+
TU00385	EG10027	+
TU0-1063	G7716	-
TU0-8587	EG12229	-
TU0-36399	EG10384 // EG11285	-
TU0-3305	EG10881 // EG11231 // EG10506	-
TU0-13683	EG12192	+
TU0-13389	G6952	+
TU0-12832	G6095	+
TU00255	EG11407 // EG11408	+
TU0-45218	EG10897	-
TU0-14464	EG10636	-
TU0-2402	M014 // G6205 // M013 // M012 // M011 // M010	+
TU00106	EG10402	-
TU0-45244	EG10804	+
TU0-45215	EG10734	-
TU0-36443	EG12194 // EG12193	-
TU0-14115	EG10224	+
TU0-8339	G7443	-
TU0-14293	EG11956	-
TU0-8243	EG10925 // EG11137 // EG11138	-
TU0-12863	G6133	+
TU0-45175	EG10803	+
TU00489	EG30025	+
TU0-13235	G6692 // G6691	+
TU0-13200	EG12691 // G6637	+
TU0-45271	EG10342 // EG10339 // EG10347	+
TU0-13791	G7514	-
TU0-8832	G7672	-
TU682	EG10862 // EG10892	+
TU0-8800	G6428	+
TU0-8454	G6383 // G6382 // G6381 // G6380 // G6379	+
TU0-13155	G0-10556	+
TU0-14629	G6879 // EG11043	-
TU00337	EG11232 // EG10766 // EG10876 // EG10888 // EG10904 // EG10879 // EG10869 // EG10907 // EG10913 // EG10868 // EG10884 // EG10875	-
TU0-13601	G7221 // G7220 // G7219	+
TU0-13266	G6749 // G0-10451	+
TU0-42517	EG11270	+
TU0-13634	G7282 // G7281	-
TU0-13950	G0-10563	+
TU0-14350	G6560	+
TU0-8873	G6276	+
TU0-7804	EG11366	-
TU0-12976	G6307	+
TU0-14390	EG10608	-
TU0-1201	EG10372	+
TU0-13987	EG12293	-
TU0-5843	EG12437 // EG11532 // EG11368	-
TU0-12813	EG12605	+
TU-8423	EG12301	+
TU0-2741	EG12189 // EG11823	+
TU00368	EG12393 // EG11168 // EG11169	+
TU0-8749	G7511	+
TU0-8569	G6418	-
TU0-3463	G0-8883 // G7011	-
TU0-45200	EG11415	-
TU0-13664	G7343	-
TU0-13372	G6916	+
TU0-45229	EG10671	-
TU0-1805	EG12344	-
TU0-13182	EG11819	-
TU0-14429	G6543 // G6544 // G6545 // G6546	-
TU0-13559	EG12069	-
TU00089	EG10384	-
TU0-8302	EG20173	+
TU0-8146	G7872	+
TU0-36420	EG10735	-
TU0-14092	EG11909 // EG11908	+
TU0-13218	G6665	+
TU0-45144	G7011 // G0-8883	-
TU0-8779	EG12205	+
TU0-12844	G6101	+
TU00261	EG11214 // EG10237 // EG10244	-
TU00473	EG10384	-
TU0-8816	EG12108	-
TU0-13584	G7190	+
TU0-45255	EG12319	-
TU0-13775	G7491	+
TU00320	EG10745 // EG10744	-
TU0-13131	G6559	-
TU00287	EG11881 // EG11676	-
TU0-8353	G592	-
TU0-14300	EG11678 // EG12325 // EG12326 // EG12327	-
TU0-14609	EG10139 // G6092	+
TU0-13616	G7252	+
TU0-14328	EG12095	-
TU0-13249	EG11310	+
TU0-42495	EG11358 // G7657	-
TU0-14369	EG10013	-
TU0-7521	EG11428	-
TU862	EG12030	-
TU0-8844	G0-9605	-
TU702	EG10773 // EG10772 // EG10771	+
TU0-12959	G6270 // EG11657	+
TU0-12796	G6086 // G6085 // G0-10535	-
TU0-1181	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	+
TU00352	EG10920 // EG10239 // EG10896	+
TU0-5543	EG10329 // EG10891 // EG10886	-
TU0-12793	G6083	+
TU0-8727	EG12048	-
TU0-2502	EG11013	+
TU0-13647	G7315	+
TU0-13957	EG11441 // EG12233	-
TU0-8553	G6251	-
TU0-3161	EG10174 // EG10173	+
TU0-45184	G0-8878	+
TU0-14406	EG11551	-
TU0-13356	G6886	-
TU0-45211	G7264 // G7263	+
TU0-13534	EG12022	-
TU0-13165	G6609	+
TU0-3621	G6970 // G6969	+
TU-8434	EG11685 // EG11686	-
TU00073	EG10037	-
TU0-8223	EG10591	-
TU0-7881	EG11618 // EG11617 // EG12136 // G7115 // G7114 // G7113	+
TU0-12826	EG12337	-
TU0-14071	EG11854	+
TU0-13195	EG12433	+
TU00239	EG12235 // EG12236 // EG12237	+
TU0-8759	G7688	+
TU0-45240	EG11083	-
TU0-1921	EG11330 // EG10361 // EG11329	+
TU00455	EG11463	+
TU0-8793	G6105	-
TU0-13568	G7163	-
TU0-8335	EG11373	+
TU0-13758	G7465	+
TU0-13597	G7214	-
TU0-14263	EG10375 // EG11199 // EG10093	-
TU00270	G0-10437 // EG10299 // EG10264 // EG10297	+
TU0-13231	G6686 // G6685 // G6684 // G6683 // G6682 // G6681	+
TU0-45156	EG10889	+
TU0-14553	EG30031 // EG30029 // EG30059 // EG30030	-
TU00302	EG10154 // EG10153	-
TU0-14311	EG11912	+
TU0-8828	EG11288	+
TU0-42471	EG10587	+
TU0-14345	EG11613	-
TU584	EG10463	+
TU787	EG11738	-
TU00333	EG11547 // EG11548	+
TU0-13137	EG12444	+
TU0-12939	EG11099	+
TU877	EG11030 // EG11871 // M004	-
TU0-13969	EG12251	-
TU0-13629	G7273	+
TU0-5184	EG10229	+
TU0-1194	EG10828 // EG10242	-
TU0-13932	G7746	+
TU0-1003	G6940 // G6941 // G6942 // G6943 // G6944	-
TU0-14386	EG10610 // EG10609 // EG10608	-
TU0-7603	G6283 // G6282 // G6281 // G6280 // G6278 // G6277 // EG11583	+
TU0-8537	G7216	-
TU0-2701	G0-8905 // G7080	+
TU0-2081	EG11619	-
TU0-1281	G0-10580 // EG10359	-
TU0-13338	G6851	-
TU0-45196	EG10828 // EG10242	-
TU-8394	EG12658 // G7575	+
TU0-45168	EG10375 // EG10376	-
TU0-3423	EG10952	+
TU0-8733	G7202	+
TU00057	EG10797	-
TU0-13178	G6629	-
TU0-13148	G6586 // G6585 // EG12370	-
TU0-45225	EG10333 // EG10332 // EG10331 // EG10330	-
TU0-14054	EG11396	+
TU0-8101	G6397	+
TU0-1581	EG10166	+
TU0-7745	G7237	-
TU0-13214	EG12870 // G6659	+
TU0-13542	EG12027	+
TU00438	EG10896	+
TU0-8773	EG10124	-
TU0-8742	EG11786	-
TU0-8812	EG12117	+
TU0-13740	EG12372	+
TU0-13580	G7185	+
TU0-44222	G0-16721	-
TU0-13552	EG12041 // EG12040 // EG12038 // EG12037	+
TU00314	G7693 // EG10685 // EG11497	+
TU00245	EG11614 // EG11615	-
TU0-14531	EG12093 // EG11773	-
TU00283	EG10434 // EG10433 // EG10430 // EG10429	-
TU00254	EG10012 // EG11405	-
TU0-13612	G7242	-
TU0-42452	EG11403 // EG11510	+
TU0-14324	EG11917	+
TU0-13115	G6525	+
TU0-14292	EG11680 // G7665	+
TU00311	EG11179 // EG10505 // EG10665	-
TU0-14275	G7418	+
TU0-12919	EG11097	+
TU802	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758	+
TU681	EG10456	+
TU0-13609	G7235	-
TU0-4981	G7748 // G7747	+
TU0-1141	EG10787	+
TU0-7201	G7331	-
TU0-13949	EG11520	+
TU0-14359	EG10821 // EG12385	+
TU602	EG10890 // EG11119	+
TU0-8518	G0-8873	+
TU0-2442	EG12202	-
TU-8422	G6311 // G6310 // G6309	+
TU0-12789	EG11555	-
TU0-13322	G6831 // G6830	-
TU0-45180	EG10599 // EG10600	+
TU0-8710	G6919	-
TU0-1803	EG12344	-
TU0-3123	G6262 // G6261	+
TU0-13940	G7762 // G7761 // G0-10540 // G7760 // G7759	+
TU00041	EG10581	+
TU0-13161	G6606 // G6605	+
TU0-45143	EG10050	+
TU0-45208	EG10412	+
TU0-14037	EG10844	-
TU0-7823	EG10673	-
TU0-13516	EG11990 // EG11989 // EG11988 // EG11987	-
TU0-13130	EG12688	-
TU0-8201	G6450	-
TU-8405	G7027 // G370 // G7028	-
TU00421	EG10157	-
TU0-8755	EG11166	-
TU0-7501	EG12013	-
TU0-13189	EG11121	-
TU0-13723	G7421	+
TU0-13564	G0-10561 // EG12323	+
TU00223	EG10930	+
TU0-8726	EG12026	+
TU0-8789	G7045	-
TU0-1721	G7832	+
TU0-14512	EG30013	-
TU00266	EG10277 // EG11317 // EG11318	+
TU0-13532	EG12020	-
TU0-13592	G7198	-
TU0-4189	EG12705	-
TU0-14305	EG12360	+
TU0-14241	G0-8887	-
TU00238	EG11135 // EG10045	+
TU00298	EG12437 // EG11532 // EG11368 // EG12438 // EG10579 // EG12362	-
TU0-4444	EG12144 // EG12197	+
TU0-12900	G6206	+
TU781	G6936	-
TU0-14262	EG11199 // EG10093	-
TU0-14341	G7642	+
TU0-4802	EG10114 // EG10115 // EG10116	-
TU0-13965	EG12244	-
TU523	EG10572 // EG11249 // EG10571	-
TU583	EG11620	-
TU873	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081	-
TU0-13121	G6542	+
TU0-8501	EG11469	-
TU-8443	EG11287	-
TU0-13931	EG11578	+
TU0-1190	EG30076 // EG30083 // EG30010 // EG30045 // EG30090	+
TU0-13304	G6811	-
TU0-2001	G6488 // G6489	+
TU0-13914	EG11181 // EG10113	-
TU-8393	EG10136 // EG12434	+
TU0-2621	G6905 // G6906 // G6907 // G6908 // G6909 // EG11378	-
TU0-7301	EG12253	+
TU00025	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-45164	EG30063	+
TU0-1549	EG12252	-
TU0-45192	G7211	-
TU0-14020	EG11196	-
TU0-13143	G6579 // G6578	-
TU0-14817	EG10703	-
TU0-44221	EG11052	-
TU0-13174	G6620	-
TU0-8717	G7036	-
TU00404	EG11972 // EG11973	-
TU0-7722	EG11752 // EG11751	-
TU0-13114	EG11540 // EG12703	-
TU0-8081	EG10282 // EG10703	-
TU0-13704	G7387	-
TU0-8738	G7314	-
TU0-44206	G6718	+
TU0-7182	G0-10201	-
TU0-8767	G7458	-
TU0-13523	EG12003 // EG12002 // EG11999 // EG11998	+
TU0-14490	EG10159 // EG10158	+
TU0-13548	EG12036	+
TU0-8709	G6894	-
TU0-13576	G7179	+
TU0-41656	EG11820	-
TU00250	EG11250 // EG12096	+
TU0-13099	G6496 // G6495	-
TU0-13515	G7139	+
TU00279	EG11381	-
TU00229	EG12380	+
TU0-12882	G6169 // G6168 // G0-10525 // EG12161	+
TU0-14287	EG11926 // EG11925 // EG11924 // EG11923	+
TU00222	EG10674 // EG10675 // EG10676 // EG10677 // EG10678	+
TU0-14320	EG12139	-
TU0-4545	EG11698 // EG10363 // EG10366 // EG10362	-
TU66	EG10732 // EG10731	-
TU0-7	EG11034	+
TU0-1424	EG10347	+
TU795	G0-16736 // EG11325	+
TU0-14247	G6113	-
TU0-8485	EG31116	-
TU0-13945	G7767	+
TU522	EG10572 // EG11249 // EG10571	-
TU0-1064	G7716	-
TU0-13287	EG10948	-
TU-8414	EG10561	-
TU0-8693	G6661	+
TU0-13913	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU0-2405	EG10525 // G6201	-
TU543	EG30069	-
TU00009	EG10079	+
TU0-1781	EG11404 // EG10785	-
TU0-14816	EG10282 // EG10703	-
TU0-45176	EG10363 // EG10366 // EG10362	-
TU0-14005	EG11194	+
TU0-4501	EG12335	+
TU0-13499	G7102 // G7101 // G7100 // G7099 // EG11787 // EG11788 // EG11789 // EG11790 // EG10161 // EG10162 // G7098 // G7097	-
TU0-44205	G6718	+
TU0-13156	G6600	-
TU0-13922	EG11262	+
TU00388	EG10679	-
TU0-13126	G6554 // EG11820	-
TU0-13098	G6493	-
TU0-7805	EG10632	-
TU0-13688	EG11783	+
TU0-7401	EG10033	+
TU00206	EG10819 // EG10817 // EG10814 // EG10816 // EG10815 // EG10818	+
TU0-6983	G6511	+
TU0-8750	G7526	-
TU-8383	G7261 // G7260	+
TU0-14467	EG10390	+
TU0-8722	EG12396	+
TU0-8692	EG12868	-
TU0-13560	EG12070	-
TU0-3723	EG11942 // EG11943 // EG11448	-
TU0-13528	G0-10459	+
TU0-14222	EG12342	+
TU0-13498	G7096 // G7095 // G7094	-
TU00262	EG12628 // EG12627 // EG12626 // EG12625 // EG10248	-
TU0-14822	EG10804	+
TU0-12866	EG12338 // EG12339 // G0-10433	-
TU00234	EG10266 // EG10267	+
TU00205	EG10420 // EG10421	-
TU0-14301	EG12328	-
TU0-45274	EG10703 // EG10368	-
TU0-14254	EG10080	+
TU462	EG11408 // EG11407	+
TU0-14221	EG12171	-
TU704	EG10773 // EG10772 // EG10771	+
TU0-44211	EG13159	-
TU0-8458	EG10662 // G6876 // G6875 // G6874 // G6873 // G6872 // G6871	+
TU564	EG10441 // EG10900	+
TU461	EG11408 // EG11407	+
TU0-13958	EG12234	+
TU0-13269	G6756	+
TU0-13927	G7739 // G7738 // G7737 // G7736	-
TU0-13897	G7681	+
TU0-13896	G7680	-
TU-8435	EG11385	+
TU0-13105	EG11113	-
TU0-901	EG10464	-
TU-8389	EG10504	-
TU0-14791	G7571 // G7572	-
TU0-1962	G7542 // EG20080 // G7543 // G0-8601 // G7544 // G7545	-
TU0-13990	EG11766	+
TU0-1545	G0-17101 // EG11545 // EG11967	+
TU0-14792	G7487 // G7486 // G7485	+
TU0-4401	G6216	-
TU0-45157	G0-10631	-
TU0-7044	EG11062	+
TU00371	EG11053 // EG11052 // EG11051	-
TU0-44217	EG10963	-
TU0-13080	EG10947	+
TU0-13138	G6571	-
TU0-13668	EG12308	+
TU0-13110	G0-9662 // G6512	+
TU0-4403	EG11606	-
TU0-6702	EG10932 // EG10931 // EG10934	+
TU0-7622	G6284 // G6285 // G6286	-
TU0-8700	G6737	-
TU0-14439	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086 // EG11085	+
TU0-7162	EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341	-
TU0-8676	EG12166	-
TU0-8734	G7240	-
TU0-36424	EG30099	+
TU0-8705	EG11640	+
TU0-13081	EG11242	+
TU0-13479	G7074	-
TU0-13543	EG12029	-
TU0-13505	G7118	+
TU0-12848	G6108	-
TU0-13511	G7134	-
TU00189	EG10651	+
TU00246	EG10128 // EG10129 // EG10127	-
TU0-45258	G7596	+
TU00218	EG10585	+
TU0-6821	EG10167	+
TU0-14205	G7937	+
TU0-14276	EG10152 // EG10002 // EG12427	+
TU00212	EG11815 // EG11814 // EG12195	+
TU0-8356	G6268	-
TU0-14235	EG11291	+
TU361	EG10900 // EG11265	+
TU61	G7750 // G7751	-
TU0-13252	EG12110	+
TU501	G6706	-
TU0-8677	EG12855	+
TU0-13880	EG10215	-
TU0-13941	G7763	+
TU0-14229	EG11653	-
TU0-8847	EG11334	-
TU0-13908	EG11019	+
TU0-14762	G6607 // G6606 // G6605 // G6604	+
TU-8407	EG10859	-
TU00355	EG10942 // EG10941	-
TU0-14806	EG10432	-
TU0-13480	G7077 // G7076 // G0-10543	-
TU0-42686	EG11845 // EG11846 // EG11847	-
TU0-1741	EG11331	-
TU488	EG10467	+
TU0-13650	EG12401	-
TU0-44201	G0-9662	+
TU0-13064	G6434 // G6433	+
TU0-4461	EG12522	+
TU0-1441	EG11977 // EG11976 // EG11975 // EG11224 // EG10324 // EG10323 // EG10322	+
TU0-13093	EG10094	-
TU00190	EG11435 // EG11434 // EG11599	+
TU0-6646	EG10222 // EG10220	+
TU0-13122	G6549	+
TU0-13903	G7690	-
TU0-36398	EG11411	-
TU0-6941	EG12428 // EG10845	+
TU0-8657	G7563	-
TU0-7321	G7254	-
TU0-12831	EG10139 // G6092 // EG12715	+
TU0-8688	G6615	-
TU0-14206	G7938	+
TU0-13460	G7049	-
TU0-8718	EG11141	+
TU0-14800	G6955	-
TU0-45243	EG11222	-
TU0-13492	G7089	-
TU00173	EG11517 // EG10398 // EG10396	-
TU0-13524	EG12004	+
TU0-8338	G7444	+
TU00201	EG10725 // EG10724 // EG10723 // EG10722 // EG10721 // EG10720 // EG10719 // EG10718 // EG10717 // EG10716 // EG10715 // EG11283 // EG10714 // EG10713	-
TU362	EG10736 // EG11108	+
TU0-14188	G7907	+
TU00230	EG11647	+
TU0-44196	G6281	+
TU0-13234	G6689 // G6688	+
TU0-14218	G0-10475	+
TU302	EG12423 // G6219 // G6218 // G6217	+
TU0-1425	EG10347	+
TU0-8831	G6134	-
TU424	EG11551 // EG11552	-
TU0-13881	EG12371	-
TU0-13864	G7615	+
TU544	G6660	-
TU0-13087	G6471 // EG11409 // EG10613 // EG12375	+
TU00336	EG10908 // EG10874	-
TU0-13892	G7671 // G7670 // EG11515	+
TU0-14730	EG11062	+
TU0-13923	G7722	+
TU0-13633	G7280	+
TU0-14784	EG10461	+
TU0-14763	EG10215 // G0-10651	-
TU0-42636	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU-8384	G7312 // G7311	+
TU0-6882	EG10499 // EG10500	+
TU0-14389	EG10608	-
TU0-4285	EG11569	-
TU0-13047	G6403	+
TU0-1501	G6833	+
TU0-12812	EG11546	-
TU0-13076	G6458	-
TU0-42688	EG11845 // EG11846 // EG11847	-
TU0-6564	EG10976	+
TU0-44212	EG13159	-
TU0-8683	EG11438	-
TU0-3426	G6227 // EG10928	+
TU0-6683	EG10786	-
TU0-8640	G6931	-
TU0-13106	G6504 // G6503 // EG11826	-
TU0-45228	G6554 // EG11820	-
TU0-8671	G6444	+
TU0-13065	G6436	+
TU0-13441	EG10614	-
TU0-7061	EG11213	-
TU0-13487	EG11892	-
TU0-8301	EG20173 // EG10027	+
TU0-13473	G7066	-
TU00157	EG11227 // EG11228 // EG11229	+
TU0-8701	G6741	-
TU0-13217	G6664	+
TU00185	EG10549	-
TU0-6647	EG10243	+
TU0-14169	G7877	-
TU0-13506	G0-8878	+
TU00196	EG10567 // EG10568 // EG10569	+
TU0-8815	G7740	-
TU0-14201	G7930	-
TU164	EG11963 // EG11962 // EG11961	+
TU00213	EG11402 // EG12127	-
TU00319	EG10732 // EG10731	-
TU355	EG10801	-
TU0-8658	G7594	+
TU0-13846	G7590	-
TU0-1423	EG10347	+
TU0-14212	EG12591	-
TU0-13615	G7251	+
TU0-13876	G7646	-
TU0-14692	EG10734	-
TU489	EG10467	+
TU0-14368	EG11580	+
TU0-14750	G6339 // G6340 // G6341 // G6342 // G6343 // G6344	-
TU0-13461	G7050	-
TU0-42596	EG12294 // EG12295 // EG20091 // EG10937	-
TU0-13904	EG10018	-
TU401	EG10400 // EG10397 // EG10395	-
TU0-12795	G0-9581	+
TU0-42672	G7658 // G7659 // EG12799 // EG12800 // EG12801	-
TU0-13031	G6384	-
TU0-14801	G7823 // EG11210	+
TU0-13060	G6424	-
TU00174	EG10440	-
TU0-6510	EG10756	-
TU0-44197	G6281	+
TU0-13887	EG11358	-
TU0-6631	EG11041	+
TU0-8623	G7918	+
TU0-13088	EG10519 // G6472	+
TU0-8652	G7469	-
TU0-14189	G0-10569	+
TU0-13425	EG12866 // EG10760	-
TU0-6884	EG10135	+
TU0-14771	EG12204 // G7000	-
TU0-13455	EG11661 // EG11660	+
TU00140	EG10423	-
TU0-8684	G6569	-
TU00169	EG12417 // EG12416 // EG12415 // EG12414 // G7128 // EG12419	-
TU305	EG10518 // EG11251 // G6630	+
TU0-14153	G7847 // G7846	+
TU0-13488	EG11893	-
TU0-42697	EG10351	-
TU0-14183	G7901 // EG12544	+
TU00523	EG10543	+
TU00197	EG11327 // EG11326	+
TU27	EG10256	-
TU0-13865	G7616	+
TU0-13829	EG11377	-
TU0-14213	G7946	-
TU0-13071	G6445	-
TU0-13859	G7607	+
TU0-14672	EG10599	+
TU402	EG10400 // EG10397	-
TU0-14716	G0-10602	-
TU0-14736	G0-16680 // EG11544	+
TU0-42573	EG12691 // G6637	+
TU0-13888	G7657	-
TU0-6653	EG10707 // EG11271	+
TU0-42622	EG10935	-
TU0-13013	G6357	-
TU0-14772	G7885	+
TU0-13043	G6400	+
TU0-42638	G0-16690 // G7347 // G7348 // EG12341 // EG11897	-
TU0-6443	EG10207	-
TU0-42698	EG10355	+
TU0-8664	G7869	+
TU0-6557	EG10258 // EG10810	-
TU0-8606	EG11203	-
TU0-13072	G6449 // G6448	+
TU0-8636	G6666	-
TU0-13048	G6404	+
TU0-1341	EG10490	+
TU0-6654	EG10743	-
TU0-13468	G7058	+
TU0-13437	EG11807	-
TU00124	EG10961	-
TU0-8665	EG12164	+
TU00153	G7414 // EG10481 // EG10480 // EG10479 // EG10478 // EG10477 // EG10476 // EG10475 // EG10474	-
TU0-6569	EG10046	-
TU0-14133	G7823 // EG11210	+
TU0-13469	G7060 // G7059	+
TU00180	EG11057 // EG11056	+
TU0-14165	G7876 // G7875 // G7874	+
TU00507	EG30031 // EG30029 // EG30059 // EG30030 // EG30028 // EG30052 // EG30058	-
TU00181	EG10547	+
TU142	EG11565 // EG11564 // EG11563 // EG11562	+
TU0-8641	G6953	-
TU0-13813	G7538	-
TU0-14196	G7919	-
TU0-14195	G0-10473 // G7917	-
TU0-13842	EG12363	+
TU0-14649	EG10510	-
TU347	EG10061	-
TU0-14687	G6890 // G6889	+
TU0-13442	EG12379 // EG12378	+
TU0-42547	G6706	-
TU0-13872	G7629 // EG10955	+
TU346	EG10061	-
TU0-42592	G0-16601	-
TU0-12997	EG10856	-
TU0-14744	EG11426 // EG11425	-
TU0-13027	EG11523 // G6376	+
TU00158	EG10649	+
TU0-6361	G7644	+
TU0-42662	EG30096 // EG10504	-
TU0-13871	EG11174 // EG11173	+
TU0-6506	EG10453	-
TU0-8589	EG12273	-
TU0-13056	G6415	-
TU0-8619	G7886	-
TU0-14170	G7879	-
TU0-13391	EG10968	+
TU0-6625	EG10960	-
TU0-14742	G0-16680 // EG12241 // EG12240 // EG11544	+
TU0-13420	G6999	+
TU00108	EG10576	-
TU0-8648	G7046	+
TU00136	EG10319 // EG10320	-
TU182	EG10311 // EG10315 // EG10314 // EG10313 // EG10310 // EG11974 // EG10308	+
TU0-14117	EG11931 // EG11930	+
TU0-13450	EG11139	-
TU0-42660	EG30096	-
TU0-14148	G7839 // G7838	+
TU00491	EG30014	+
TU00165	EG10295 // EG10298 // EG10296	-
TU00519	EG30066	-
TU0-13847	EG11603 // EG11602	-
TU0-13793	EG12878	+
TU0-14177	G7890	-
TU0-13054	G6413	-
TU0-13825	G7566	+
TU0-14631	EG10804	+
TU26	EG10256	-
TU0-14668	EG11015	-
TU0-14693	EG10782 // EG10784 // EG10734	-
TU0-42519	EG11479 // G7808 // G7806	+
TU0-13855	G7603	-
TU0-6623	G6269 // EG11542	-
TU0-42568	EG10083 // EG11093 // EG10082	+
TU0-12979	G6313	-
TU0-14702	EG11165 // EG11164 // EG11009	+
TU0-13009	EG11255 // EG11254 // EG10606 // EG10607 // EG10854	-
TU0-42599	EG10085	+
TU0-5901	EG10383	-
TU0-42612	EG12739	+
TU0-8647	G0-10454	+
TU0-6425	EG10566	+
TU0-8572	G7597	-
TU0-13039	G6394	-
TU0-8601	EG11724	-
TU0-13032	G6387 // G6386 // G6385	-
TU0-13374	G6918 // EG12432	+
TU0-6552	EG10550	-
TU0-13449	EG10921	+
TU0-13405	G6978	+
TU00091	EG10562	+
TU0-8631	G6166	+
TU00120	EG10160	-
TU0-6511	EG10837	+
TU0-14094	EG11914	-
TU0-13433	EG11505	+
TU00164	EG10294	-
TU0-14129	EG11955	-
TU00475	EG11044 // EG10794 // EG10169	-
TU00149	EG13161	-
TU00503	EG30017 // EG30042 // EG30049 // EG30068	+
TU0-8624	G7922	-
TU0-13777	G7493	+
TU0-14161	G7868	-
TU0-14176	G7889 // G7888	+
TU0-13808	EG12704	-
TU0-14610	G6127	-
TU121	EG10802	+
TU0-14645	G7312 // G7311	+
TU0-13426	G7005	-
TU0-42498	EG11266	-
TU0-13837	EG12633 // G7580 // G7579 // G7578 // EG10687	-
TU25	EG10256	-
TU0-42540	G6700 // G6701	-
TU0-12961	G6273	-
TU0-14680	EG10414	+
TU0-12993	G6331	-
TU00141	EG10688	+
TU0-5562	EG10664 // G7533 // G7532 // EG10627	+
TU0-42584	EG10363 // EG10366 // EG10362	-
TU0-13854	G7602 // G7601	-
TU0-6223	EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061	-
TU0-8555	G6240	+
TU0-13023	EG11776	-
TU0-8585	EG12219	-
TU0-14154	EG11812 // G7850 // G7849 // G7848	+
TU0-13358	G6888	-
TU0-6501	EG10187	-
TU0-14701	EG11165 // EG11164 // EG11009	+
TU0-13386	EG10663	+
TU00075	EG10046	-
TU0-8614	G7862	-
TU00104	EG10356	-
TU00524	G0-17009 // EG10933 // EG10934 // EG10931 // EG10932 // EG10979 // EG10980 // EG10981 // EG10982	+
TU0-14073	EG11859	+
TU0-13417	EG12693 // EG10683	+
TU0-42608	G7395 // G7396	-
TU0-14113	EG11076	-
TU00457	EG10536 // EG10537 // EG10541 // EG10538 // EG10540	-
TU00132	EG10563 // EG10564	+
TU00487	EG10898 // EG11681 // EG11682 // EG12146 // EG12147	+
TU0-13830	EG10686	-
TU0-13760	G7468 // G7467	+
TU0-14143	G7836	-
TU0-13038	G6393	-
TU0-13789	G7512	-
TU0-14558	EG12845 // G7425 // G7426 // G7427	-
TU00515	EG30013 // EG30019 // EG30018 // EG30015 // EG30095	-
TU0-14625	EG11325	+
TU0-14673	EG10599	+
TU0-42474	G7067	+
TU0-13821	G7557	-
TU0-6551	EG10407	-
TU0-42515	EG10116	-
TU0-12941	G6253	-
TU0-14661	G7712 // G7713 // G7714 // G7715	-
TU0-12974	G6302 // G6301	+
TU0-42576	G0-16601	-
TU0-5201	EG10048 // EG10047 // EG10523 // EG10691	-
TU0-42561	EG11652	+
TU0-8630	G0-10474	+
TU0-5781	G7532 // EG10627	+
TU0-8539	EG12315	-
TU0-13005	EG11594	-
TU0-8567	EG11579	-
TU0-13014	G6358	-
TU0-13341	G6854	+
TU0-6408	EG10700	+
TU0-13432	G7014 // G7013 // G7012	-
TU0-13370	G0-8863	+
TU00059	EG10800	+
TU0-8597	EG11711	+
TU00087	EG11040	+
TU0-6444	EG10702	+
TU0-14056	EG11485 // EG11021 // EG11484 // EG10698	+
TU0-13401	G6971	+
TU00148	EG10250 // EG10249	+
TU0-14090	EG11903	-
TU00440	EG10510 // EG12111	-
TU00116	EG10112	+
TU00471	G7039 // EG11356 // EG11355	-
TU0-8607	EG11878	+
TU0-13742	G7456	-
TU0-14125	EG11941	-
TU0-14160	G7867	-
TU0-13773	G7489	+
TU0-14533	EG30070 // EG30077	+
