Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
CPLX_CRO4abcpp-1	Inner_Membrane	NCTC13359_00649()	Inner_Membrane	r
NCTC13359_00650-MONOMER	Inner_Membrane	NCTC13359_00650()	Inner_Membrane	r
CPLX_CRO4abcpp-0	Inner_Membrane	NCTC13359_00650()	Inner_Membrane	r
CPLX_CRO4abcpp-1	Inner_Membrane	NCTC13359_00650()	Inner_Membrane	r
NCTC13359_01903-MONOMER	Inner_Membrane	NCTC13359_01903()	Inner_Membrane	r
NCTC13359_00607-MONOMER	Inner_Membrane	NCTC13359_00607()	Inner_Membrane	r
NCTC13359_04891-MONOMER	Periplasm	NCTC13359_04891()	Periplasm	s
NCTC13359_01831-MONOMER	Inner_Membrane	NCTC13359_01831()	Inner_Membrane	r
NCTC13359_03898-MONOMER	Inner_Membrane	NCTC13359_03898()	Inner_Membrane	r
NCTC13359_05791-MONOMER	Inner_Membrane	NCTC13359_05791()	Inner_Membrane	r
CPLX_MPTG-0	Inner_Membrane	NCTC13359_05791()	Inner_Membrane	r
CPLX_MPTG-1	Inner_Membrane	NCTC13359_05791()	Inner_Membrane	r
CPLX_MPTG-2	Inner_Membrane	NCTC13359_05791()	Inner_Membrane	r
NCTC13359_03373-MONOMER	Periplasm	NCTC13359_03373()	Periplasm	s
NCTC13359_04790-MONOMER	Inner_Membrane	NCTC13359_04790()	Inner_Membrane	r
NCTC13359_01737-MONOMER	Inner_Membrane	NCTC13359_01737()	Inner_Membrane	r
NCTC13359_00328-MONOMER	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
CPLX_FE3DHBZStonex-0	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
CPLX_FE3DHBZStonex-1	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-0	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-1	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
CPLX_SALCHS4FEtonex-2	Outer_Membrane	NCTC13359_00328()	Inner_Membrane	r
NCTC13359_05039-MONOMER	Outer_Membrane	NCTC13359_05039()	Inner_Membrane	s
CPLX_FE3DHBZStonex-0	Outer_Membrane	NCTC13359_05039()	Inner_Membrane	s
CPLX_FE3DHBZStonex-1	Outer_Membrane	NCTC13359_05039()	Inner_Membrane	s
NCTC13359_02902-MONOMER	Outer_Membrane	NCTC13359_02902()	Outer_Membrane	sb
CPLX_SALCHS4FEtonex-2	Outer_Membrane	NCTC13359_02902()	Outer_Membrane	sb
NCTC13359_04407-MONOMER	Inner_Membrane	NCTC13359_04407()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	NCTC13359_04407()	Inner_Membrane	r
NCTC13359_04406-MONOMER	Inner_Membrane	NCTC13359_04406()	Inner_Membrane	r
CPLX_SUCDi-0	Inner_Membrane	NCTC13359_04406()	Inner_Membrane	r
NCTC13359_02210-MONOMER	Inner_Membrane	NCTC13359_02210()	Inner_Membrane	r
NCTC13359_02271-MONOMER	Inner_Membrane	NCTC13359_02271()	Inner_Membrane	p
CPLX_Kt2pp-0	Inner_Membrane	NCTC13359_02271()	Inner_Membrane	p
NCTC13359_02956-MONOMER	Inner_Membrane	NCTC13359_02956()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02956()	Inner_Membrane	p
NCTC13359_02945-MONOMER	Inner_Membrane	NCTC13359_02945()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02945()	Inner_Membrane	r
NCTC13359_02948-MONOMER	Inner_Membrane	NCTC13359_02948()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02948()	Inner_Membrane	r
NCTC13359_02947-MONOMER	Inner_Membrane	NCTC13359_02947()	Inner_Membrane	p
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02947()	Inner_Membrane	p
NCTC13359_02946-MONOMER	Inner_Membrane	NCTC13359_02946()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02946()	Inner_Membrane	r
NCTC13359_02950-MONOMER	Inner_Membrane	NCTC13359_02950()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02950()	Inner_Membrane	r
NCTC13359_02944-MONOMER	Inner_Membrane	NCTC13359_02944()	Inner_Membrane	r
CPLX_NADH16pp-0	Inner_Membrane	NCTC13359_02944()	Inner_Membrane	r
NCTC13359_01880-MONOMER	Inner_Membrane	NCTC13359_01880()	Inner_Membrane	r
NCTC13359_05820-MONOMER	Outer_Membrane	NCTC13359_05820()	Outer_Membrane	sb
NCTC13359_03801-MONOMER	Inner_Membrane	NCTC13359_03801()	Inner_Membrane	r
NCTC13359_00055-MONOMER	Inner_Membrane	NCTC13359_00055()	Inner_Membrane	p
