complex_id,name,genes,mod,replace
EWS79_RS07125-MONOMER,,,thmpp(1),
EWS79_RS05280-MONOMER,,,mg2(1),
EWS79_RS03885-MONOMER,,,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),
EWS79_RS04455-MONOMER,,,zn2(1),
EWS79_RS03740-MONOMER,,,zn2(4),
EWS79_RS00355-MONOMER,,,mn2(1),
EWS79_RS05025-MONOMER,,,mn2(1),
EWS79_RS01970-MONOMER,,,mg2(1),
EWS79_RS01100-MONOMER,,,fad(1),
EWS79_RS08025-MONOMER,,,4fe4s(1),
EWS79_RS01540-MONOMER,,,mg2(1),
EWS79_RS04860-MONOMER,,,mg2(1),
EWS79_RS03105-MONOMER,,,mg2(1),
EWS79_RS06980-MONOMER,,,glycyl(1),
EWS79_RS05650-MONOMER,,,mg2(1),
EWS79_RS08650-MONOMER,,,mg2(1),
EWS79_RS01370-MONOMER,,,zn2(2),
EWS79_RS00595-MONOMER,,,fad(1),
EWS79_RS07810-MONOMER,,,zn2(1) AND cbl1(1),
EWS79_RS03585-MONOMER,,,mg2(1) AND k(1),
EWS79_RS08885-MONOMER,,,mn2(1),
EWS79_RS08885-MONOMER,,,mg2(1),
EWS79_RS07175-MONOMER,,,mg2(4),
EWS79_RS01275-MONOMER,,,mg2(1),
EWS79_RS00620-MONOMER,,,mg2(1) AND k(1),
EWS79_RS00620-MONOMER,,,mn2(1) AND k(1),
EWS79_RS07720-MONOMER,,,zn2(1),
EWS79_RS03385-MONOMER,,,zn2(1),
EWS79_RS09045-MONOMER,,,mg2(3),
EWS79_RS07350-MONOMER,,,mg2(1),
EWS79_RS00740-MONOMER,,,thmpp(1) AND mn2(1) AND mg2(1),
EWS79_RS05075-MONOMER,,,mg2(2),
EWS79_RS02115-MONOMER,,,mn2(1),
EWS79_RS08475-MONOMER,,,mg2(1),
ZMO0003-MONOMER,,,mg2(1),
ZMO0003-MONOMER,,,mn2(1),
ZMO0003-MONOMER,,,cobalt2(1),
ZMO0003-MONOMER,,,cd2(1),
ZMO0013-MONOMER,,,mg2(1),
ZMO0014-MONOMER,,,mg2(1),
ZMO0077-MONOMER,,,4fe4s(1),
ZMO0094-MONOMER,,,4fe4s(1) AND 2fe2s(1),
ZMO0096-MONOMER,,,mg2(1),
ZMO0115-MONOMER,,,pydx5p(1),
ZMO0170-MONOMER,,,ca2(1),
ZMO0180-MONOMER,,,mn2(1),
ZMO0186-MONOMER,,,zn2(1),
ZMO0189-MONOMER,,,4fe4s(1),
ZMO0193-MONOMER,,,zn2(2),
ZMO0206-MONOMER,,,mg2(1),
ZMO0273-MONOMER,,,k(4) AND mg2(1),
ZMO0273-MONOMER,,,k(4) AND mn2(1),
ZMO0273-MONOMER,,,k(4) AND cobalt2(1),
ZMO0273-MONOMER,,,k(4) AND zn2(1),
ZMO0273-MONOMER,,,k(4) AND cd2(1),
ZMO0273-MONOMER,,,k(4) AND ni2(1),
ZMO0273-MONOMER,,,k(4) AND ca2(1),
ZMO0273-MONOMER,,,nh4(4) AND mg2(1),
ZMO0273-MONOMER,,,nh4(4) AND mn2(1),
ZMO0273-MONOMER,,,nh4(4) AND cobalt2(1),
ZMO0273-MONOMER,,,nh4(4) AND zn2(1),
ZMO0273-MONOMER,,,nh4(4) AND cd2(1),
ZMO0273-MONOMER,,,nh4(4) AND ni2(1),
ZMO0273-MONOMER,,,nh4(4) AND ca2(1),
ZMO0273-MONOMER,,,tl(4) AND mg2(1),
ZMO0273-MONOMER,,,tl(4) AND mn2(1),
ZMO0273-MONOMER,,,tl(4) AND cobalt2(1),
ZMO0273-MONOMER,,,tl(4) AND zn2(1),
ZMO0273-MONOMER,,,tl(4) AND cd2(1),
ZMO0273-MONOMER,,,tl(4) AND ni2(1),
ZMO0273-MONOMER,,,tl(4) AND ca2(1),
ZMO0273-MONOMER,,,cs(4) AND mg2(1),
ZMO0273-MONOMER,,,cs(4) AND mn2(1),
ZMO0273-MONOMER,,,cs(4) AND cobalt2(1),
ZMO0273-MONOMER,,,cs(4) AND zn2(1),
ZMO0273-MONOMER,,,cs(4) AND cd2(1),
ZMO0273-MONOMER,,,cs(4) AND ni2(1),
ZMO0273-MONOMER,,,cs(4) AND ca2(1),
ZMO0273-MONOMER,,,LI(4) AND mg2(1),
ZMO0273-MONOMER,,,LI(4) AND mn2(1),
ZMO0273-MONOMER,,,LI(4) AND cobalt2(1),
ZMO0273-MONOMER,,,LI(4) AND zn2(1),
ZMO0273-MONOMER,,,LI(4) AND cd2(1),
ZMO0273-MONOMER,,,LI(4) AND ni2(1),
