complex_id,name,genes,mod,replace
BSU30550-MONOMER,,,k(4) AND ca2(1),
BSU30550-MONOMER,,,nh4(4) AND mg2(1),
BSU30550-MONOMER,,,nh4(4) AND mn2(1),
BSU30550-MONOMER,,,nh4(4) AND cobalt2(1),
BSU30550-MONOMER,,,nh4(4) AND zn2(1),
BSU30550-MONOMER,,,nh4(4) AND cd2(1),
BSU30550-MONOMER,,,nh4(4) AND ni2(1),
BSU30550-MONOMER,,,nh4(4) AND ca2(1),
BSU30550-MONOMER,,,tl(4) AND mg2(1),
BSU30550-MONOMER,,,tl(4) AND mn2(1),
BSU30550-MONOMER,,,tl(4) AND cobalt2(1),
BSU30550-MONOMER,,,tl(4) AND zn2(1),
BSU30550-MONOMER,,,tl(4) AND cd2(1),
BSU30550-MONOMER,,,tl(4) AND ni2(1),
BSU30550-MONOMER,,,tl(4) AND ca2(1),
BSU30550-MONOMER,,,cs(4) AND mg2(1),
BSU30550-MONOMER,,,cs(4) AND mn2(1),
BSU30550-MONOMER,,,cs(4) AND cobalt2(1),
BSU30550-MONOMER,,,cs(4) AND zn2(1),
BSU30550-MONOMER,,,cs(4) AND cd2(1),
BSU30550-MONOMER,,,cs(4) AND ni2(1),
BSU30550-MONOMER,,,cs(4) AND ca2(1),
BSU30550-MONOMER,,,LI(4) AND mg2(1),
BSU30550-MONOMER,,,LI(4) AND mn2(1),
BSU30550-MONOMER,,,LI(4) AND cobalt2(1),
BSU30550-MONOMER,,,LI(4) AND zn2(1),
BSU30550-MONOMER,,,LI(4) AND cd2(1),
BSU30550-MONOMER,,,LI(4) AND ni2(1),
BSU30550-MONOMER,,,LI(4) AND ca2(1),
BSU30550-MONOMER,,,na1(4) AND mg2(1),
BSU30550-MONOMER,,,na1(4) AND mn2(1),
BSU30550-MONOMER,,,na1(4) AND cobalt2(1),
BSU30550-MONOMER,,,na1(4) AND zn2(1),
BSU30550-MONOMER,,,na1(4) AND cd2(1),
BSU30550-MONOMER,,,na1(4) AND ni2(1),
BSU30550-MONOMER,,,na1(4) AND ca2(1),
CPLX8J2-29,,,mg2(1),
BSU39050-MONOMER,,,hemed(6),
BSU30230-MONOMER,,,pydx5p(1),
BSU22730-MONOMER,,,mg2(1),
BSU22730-MONOMER,,,mn2(1),
BSU22730-MONOMER,,,ca2(1),
CPLX8J2-20,,,4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1),
BSU15730-MONOMER,,,mg2(1) AND k(1),
BSU29450-MONOMER,,,mg2(1),
BSU37150-MONOMER,,,mg2(1),
CPLX8J2-11,,,mg2(1),
