Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU02590-MONOMER	Plasma_Membrane	BSU02590()	Plasma_Membrane	s
CPLX8J2-65	Plasma_Membrane	BSU33700()	Plasma_Membrane	s
CPLX8J2-65	Plasma_Membrane	BSU33710()	Plasma_Membrane	s
CPLX8J2-65	Plasma_Membrane	BSU33720()	Plasma_Membrane	s
CPLX8J2-65	Plasma_Membrane	BSU33730()	Plasma_Membrane	s
BSU31875-MONOMER	Plasma_Membrane	BSU31875()	Plasma_Membrane	s
BSU07840-MONOMER	Cell_Wall	BSU07840()	Cell_Wall	s
BSU13230-MONOMER	Plasma_Membrane	BSU13230()	Plasma_Membrane	s
BSU22850-MONOMER	Plasma_Membrane	BSU22850()	Plasma_Membrane	s
BSU09870-MONOMER	Plasma_Membrane	BSU09870()	Plasma_Membrane	s
BSU03740-MONOMER	Plasma_Membrane	BSU03740()	Plasma_Membrane	s
BSU33760-MONOMER	Plasma_Membrane	BSU33760()	Plasma_Membrane	s
BSU02060-MONOMER	Plasma_Membrane	BSU02060()	Plasma_Membrane	s
BSU12460-MONOMER	Extracellular_Space	BSU12460()	Extracellular_Space	s
BSU14340-MONOMER	Plasma_Membrane	BSU14340()	Plasma_Membrane	s
BSU19480-MONOMER	Plasma_Membrane	BSU19480()	Plasma_Membrane	s
BSU19130-MONOMER	Plasma_Membrane	BSU19130()	Plasma_Membrane	s
BSU24400-MONOMER	Plasma_Membrane	BSU24400()	Plasma_Membrane	s
BSU04360-MONOMER	Plasma_Membrane	BSU04360()	Plasma_Membrane	s
BSU06000-MONOMER	Plasma_Membrane	BSU06000()	Plasma_Membrane	s
BSU30410-MONOMER	Plasma_Membrane	BSU30410()	Plasma_Membrane	s
BSU18010-MONOMER	Plasma_Membrane	BSU18010()	Plasma_Membrane	s
BSU08360-MONOMER	Plasma_Membrane	BSU08360()	Plasma_Membrane	s
