Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HNE05_17775-MONOMER	Periplasm	HNE05_17775()	Periplasm	s
HNE05_09310-MONOMER	Periplasm	HNE05_09310()	Periplasm	t
HNE05_04475-MONOMER	Inner_Membrane	HNE05_04475()	Periplasm	s
CPLX_ILEabcpp-0	Inner_Membrane	HNE05_04475()	Periplasm	s
HNE05_08420-MONOMER	Inner_Membrane	HNE05_08420()	Inner_Membrane	r
HNE05_13065-MONOMER	Outer_Membrane	HNE05_13065()	Inner_Membrane	pa
HNE05_17575-MONOMER	Inner_Membrane	HNE05_17575()	Inner_Membrane	r
CPLX_ZNabcpp-0	Inner_Membrane	HNE05_17575()	Inner_Membrane	r
HNE05_17560-MONOMER	Inner_Membrane	HNE05_17560()	Periplasm	s
CPLX_ZNabcpp-0	Inner_Membrane	HNE05_17560()	Periplasm	s
HNE05_15215-MONOMER	Periplasm	HNE05_15215()	Periplasm	t
HNE05_06895-MONOMER	Inner_Membrane	HNE05_06895()	Inner_Membrane	r
CPLX_PHEMEabcpp-0	Inner_Membrane	HNE05_06895()	Inner_Membrane	r
HNE05_06910-MONOMER	Inner_Membrane	HNE05_06910()	Periplasm	s
HNE05_06900-MONOMER	Inner_Membrane	HNE05_06900()	Inner_Membrane	p
CPLX_PHEMEabcpp-0	Inner_Membrane	HNE05_06900()	Inner_Membrane	p
HNE05_02395-MONOMER	Inner_Membrane	HNE05_02395()	Inner_Membrane	s
CPLX_MPTG-0	Inner_Membrane	HNE05_02395()	Inner_Membrane	s
HNE05_14830-MONOMER	Inner_Membrane	HNE05_14830()	Inner_Membrane	r
HNE05_04995-MONOMER	Outer_Membrane	HNE05_04995()	Outer_Membrane	sb
HNE05_15340-MONOMER	Inner_Membrane	HNE05_15340()	Inner_Membrane	r
HNE05_13320-MONOMER	Inner_Membrane	HNE05_13320()	Periplasm	s
HNE05_01590-MONOMER	Inner_Membrane	HNE05_01590()	Inner_Membrane	r
CPLX_ALAALAabcpp-0	Inner_Membrane	HNE05_01590()	Inner_Membrane	r
CPLX_ALAALAabcpp-1	Inner_Membrane	HNE05_01590()	Inner_Membrane	r
CPLX_rxn05542-0	Inner_Membrane	HNE05_01590()	Inner_Membrane	r
HNE05_01595-MONOMER	Inner_Membrane	HNE05_01595()	Inner_Membrane	r
CPLX_ALAALAabcpp-0	Inner_Membrane	HNE05_01595()	Inner_Membrane	r
CPLX_ALAALAabcpp-1	Inner_Membrane	HNE05_01595()	Inner_Membrane	r
CPLX_rxn05542-0	Inner_Membrane	HNE05_01595()	Inner_Membrane	r
HNE05_01605-MONOMER	Inner_Membrane	HNE05_01605()	Periplasm	s
CPLX_ALAALAabcpp-1	Inner_Membrane	HNE05_01605()	Periplasm	s
HNE05_13015-MONOMER	Inner_Membrane	HNE05_13015()	Inner_Membrane	r
HNE05_09205-MONOMER	Inner_Membrane	HNE05_09205()	Inner_Membrane	r
HNE05_14590-MONOMER	Inner_Membrane	HNE05_14590()	Inner_Membrane	r
HNE05_13060-MONOMER	Outer_Membrane	HNE05_13060()	Inner_Membrane	r
HNE05_16395-MONOMER	Inner_Membrane	HNE05_16395()	Inner_Membrane	r
HNE05_02760-MONOMER	Inner_Membrane	HNE05_02760()	Inner_Membrane	r
HNE05_14915-MONOMER	Inner_Membrane	HNE05_14915()	Inner_Membrane	r
HNE05_09385-MONOMER	Inner_Membrane	HNE05_09385()	Inner_Membrane	r
HNE05_07430-MONOMER	Periplasm	HNE05_07430()	Periplasm	s
HNE05_01540-MONOMER	Outer_Membrane	HNE05_01540()	Outer_Membrane	sb
HNE05_13810-MONOMER	Inner_Membrane	HNE05_13810()	Inner_Membrane	p
HNE05_05720-MONOMER	Inner_Membrane	HNE05_05720()	Inner_Membrane	r
HNE05_08455-MONOMER	Inner_Membrane	HNE05_08455()	Inner_Membrane	r
HNE05_10820-MONOMER	Inner_Membrane	HNE05_10820()	Inner_Membrane	r
HNE05_00980-MONOMER	Inner_Membrane	HNE05_00980()	Inner_Membrane	r
HNE05_09710-MONOMER	Inner_Membrane	HNE05_09710()	Inner_Membrane	r
HNE05_18920-MONOMER	Inner_Membrane	HNE05_18920()	Inner_Membrane	r
HNE05_17595-MONOMER	Inner_Membrane	HNE05_17595()	Inner_Membrane	pa
CPLX_METabcpp-0	Inner_Membrane	HNE05_17595()	Inner_Membrane	pa
HNE05_17590-MONOMER	Inner_Membrane	HNE05_17590()	Inner_Membrane	r
CPLX_METabcpp-0	Inner_Membrane	HNE05_17590()	Inner_Membrane	r
HNE05_13925-MONOMER	Inner_Membrane	HNE05_13925()	Inner_Membrane	r
HNE05_02725-MONOMER	Inner_Membrane	HNE05_02725()	Inner_Membrane	r
CPLX_K2L4Aabctex-0	Inner_Membrane	HNE05_02725()	Inner_Membrane	r
HNE05_02730-MONOMER	Inner_Membrane	HNE05_02730()	Inner_Membrane	r
CPLX_K2L4Aabctex-0	Inner_Membrane	HNE05_02730()	Inner_Membrane	r
HNE05_01765-MONOMER	Inner_Membrane	HNE05_01765()	Periplasm	s
CPLX_K2L4Aabctex-0	Inner_Membrane	HNE05_01765()	Periplasm	s
HNE05_11350-MONOMER	Inner_Membrane	HNE05_11350()	Periplasm	s
CPLX_MOBDabcpp-0	Inner_Membrane	HNE05_11350()	Periplasm	s
HNE05_07200-MONOMER	Inner_Membrane	HNE05_07200()	Inner_Membrane	p
HNE05_12165-MONOMER	Inner_Membrane	HNE05_12165()	Inner_Membrane	r
HNE05_17245-MONOMER	Inner_Membrane	HNE05_17245()	Inner_Membrane	r
HNE05_00730-MONOMER	Outer_Membrane	HNE05_00730()	Outer_Membrane	sb
HNE05_19270-MONOMER	Periplasm	HNE05_19270()	Periplasm	s
HNE05_20185-MONOMER	Inner_Membrane	HNE05_20185()	Inner_Membrane	r
HNE05_15850-MONOMER	Inner_Membrane	HNE05_15850()	Inner_Membrane	r
HNE05_15855-MONOMER	Inner_Membrane	HNE05_15855()	Inner_Membrane	p
HNE05_00230-MONOMER	Inner_Membrane	HNE05_00230()	Inner_Membrane	r
HNE05_00065-MONOMER	Inner_Membrane	HNE05_00065()	Inner_Membrane	r
HNE05_14255-MONOMER	Inner_Membrane	HNE05_14255()	Inner_Membrane	r
HNE05_13670-MONOMER	Inner_Membrane	HNE05_13670()	Inner_Membrane	r
HNE05_13665-MONOMER	Inner_Membrane	HNE05_13665()	Inner_Membrane	r
HNE05_08755-MONOMER	Periplasm	HNE05_08755()	Periplasm	s
HNE05_02585-MONOMER	Outer_Membrane	HNE05_02585()	Outer_Membrane	pla
HNE05_05685-MONOMER	Inner_Membrane	HNE05_05685()	Inner_Membrane	r
HNE05_03275-MONOMER	Outer_Membrane	HNE05_03275()	Outer_Membrane	sb
HNE05_13565-MONOMER	Outer_Membrane	HNE05_13565()	Outer_Membrane	pla
